Gene	D7	D14	EntrezID	Symbol	HumanGene	GeneID	Control	Treatment	Diff	Rank	RandomIndex	Label	group	rank
hsa-mir-8072	-0.329716505146419	-0.0234984948535807	102466877	hsa-mir-8072	hsa-mir-8072	102466877	-0.329716505146419	-0.0234984948535807	0.306218010292839	17875	7292		midleft	102
PRKCZ	-0.335980896447237	-0.064005103552763	5590	PRKCZ	PRKCZ	5590	-0.335980896447237	-0.064005103552763	0.271975792894474	17721	12040		midleft	98
OR10A3	-0.324595298020597	0.0270122980205965	26496	OR10A3	OR10A3	26496	-0.324595298020597	0.0270122980205965	0.351607596041193	17985	16482		midleft	106
SLITRK4	-0.316997339463618	0.041111339463618	139065	SLITRK4	SLITRK4	139065	-0.316997339463618	0.041111339463618	0.358108678927236	17993	10498		midleft	116
AGMAT	-0.382588303328128	-0.0236816966718718	79814	AGMAT	AGMAT	79814	-0.382588303328128	-0.0236816966718718	0.358906606656256	17995	4256		midleft	65
TMEM71	-0.490326881609201	-0.115783118390799	137835	TMEM71	TMEM71	137835	-0.490326881609201	-0.115783118390799	0.374543763218401	18027	12507		midleft	30
hsa-mir-1236	-0.505380327143061	-0.224189672856939	100302242	hsa-mir-1236	hsa-mir-1236	100302242	-0.505380327143061	-0.224189672856939	0.281190654286122	17766	18119		midleft	23
ZNF28	-0.503755706041655	-0.174254293958345	7576	ZNF28	ZNF28	7576	-0.503755706041655	-0.174254293958345	0.32950141208331	17941	14673		midleft	24
EFCAB9	-0.454630726635228	-0.152869273364772	285588	EFCAB9	EFCAB9	285588	-0.454630726635228	-0.152869273364772	0.301761453270456	17868	4659		midleft	36
INO80B	-0.316099296443711	0.0257502964437109	83444	INO80B	INO80B	83444	-0.316099296443711	0.0257502964437109	0.341849592887422	17972	18043		midleft	117
hsa-mir-92b	-0.44401241099223	-0.13000758900777	693235	hsa-mir-92b	hsa-mir-92b	693235	-0.44401241099223	-0.13000758900777	0.314004821984459	17895	1765		midleft	38
PPAPDC1A	-0.412379232717035	-0.137670767282965	196051	PPAPDC1A	PPAPDC1A	196051	-0.412379232717035	-0.137670767282965	0.27470846543407	17733	9227		midleft	48
GPRASP1	-0.545433584219063	-0.119506415780937	9737	GPRASP1	GPRASP1	9737	-0.545433584219063	-0.119506415780937	0.425927168438125	18084	14743		midleft	19
OR2J2	-0.427565320030804	-0.0892846799691957	26707	OR2J2	OR2J2	26707	-0.427565320030804	-0.0892846799691957	0.338280640061609	17963	383		midleft	43
WBP1	-0.495084786359611	-0.213445213640389	23559	WBP1	WBP1	23559	-0.495084786359611	-0.213445213640389	0.281639572719223	17771	4814		midleft	28
TSPY8	-0.36833083148383	-0.00741116851616999	728403	TSPY8	TSPY8	728403	-0.36833083148383	-0.00741116851616999	0.36091966296766	18001	12283		midleft	76
URGCP-MRPS24	-0.641421834567952	0.0210878345679522	100534592	URGCP-MRPS24	URGCP-MRPS24	100534592	-0.641421834567952	0.0210878345679522	0.662509669135904	18117	13126		midleft	8
CCL18	-0.37326569199065	-0.0876243080093502	6362	CCL18	CCL18	6362	-0.37326569199065	-0.0876243080093502	0.2856413839813	17793	8048		midleft	71
NET1	-0.406184745204819	-0.136055254795181	10276	NET1	NET1	10276	-0.406184745204819	-0.136055254795181	0.270129490409638	17714	7175		midleft	51
FAM161B	-0.367678088391494	-0.0477429116085065	145483	FAM161B	FAM161B	145483	-0.367678088391494	-0.0477429116085065	0.319935176782987	17922	7937		midleft	77
PF4	-0.401717856372485	-0.0317821436275146	5196	PF4	PF4	5196	-0.401717856372485	-0.0317821436275146	0.369935712744971	18018	14901		midleft	53
RHCG	-0.309309850617452	-0.0424331493825479	51458	RHCG	RHCG	51458	-0.309309850617452	-0.0424331493825479	0.266876701234904	17690	12461		midleft	121
DENND5A	-0.432574521966374	-0.0631134780336259	23258	DENND5A	DENND5A	23258	-0.432574521966374	-0.0631134780336259	0.369461043932748	18016	1814		midleft	41
DYRK2	-0.557743662323288	-0.173456337676712	8445	DYRK2	DYRK2	8445	-0.557743662323288	-0.173456337676712	0.384287324646577	18047	6848		midleft	17
ITGA3	-0.49635722741264	-0.12145277258736	3675	ITGA3	ITGA3	3675	-0.49635722741264	-0.12145277258736	0.37490445482528	18029	9024		midleft	27
LAT	-0.320757669754542	0.0571046697545418	27040	LAT	LAT	27040	-0.320757669754542	0.0571046697545418	0.377862339509084	18034	15090		midleft	109
XPO6	-0.331581750784953	-0.0441812492150467	23214	XPO6	XPO6	23214	-0.331581750784953	-0.0441812492150467	0.287400501569907	17801	12451		midleft	100
CRYGA	-0.389667227275242	-0.0967127727247575	1418	CRYGA	CRYGA	1418	-0.389667227275242	-0.0967127727247575	0.292954454550485	17821	4976		midleft	60
C16orf62	-0.424221687315763	-0.0378133126842374	57020	C16orf62	C16orf62	57020	-0.424221687315763	-0.0378133126842374	0.386408374631525	18051	159		midleft	45
RAB1B	-0.367190698415578	-0.00106130158442242	81876	RAB1B	RAB1B	81876	-0.367190698415578	-0.00106130158442242	0.366129396831155	18009	6248		midleft	78
NOSTRIN	-0.776164634777421	-0.261555365222579	115677	NOSTRIN	NOSTRIN	115677	-0.776164634777421	-0.261555365222579	0.514609269554842	18105	15921	NOSTRIN	midleft	4
DHRS7B	-0.318842409571861	0.247782409571861	25979	DHRS7B	DHRS7B	25979	-0.318842409571861	0.247782409571861	0.566624819143722	18109	7534		midleft	112
VIP	-0.306915517152751	0.00667911715275134	7432	VIP	VIP	7432	-0.306915517152751	0.00667911715275134	0.313594634305503	17894	5963		midleft	123
VPS54	-0.484624861156341	-0.115455138843659	51542	VPS54	VPS54	51542	-0.484624861156341	-0.115455138843659	0.369169722312682	18014	15699		midleft	32
RBL2	-0.465382103401045	-0.141477896598955	5934	RBL2	RBL2	5934	-0.465382103401045	-0.141477896598955	0.32390420680209	17934	375		midleft	34
hsa-mir-935	-0.506747570598556	-0.181282429401444	100126325	hsa-mir-935	hsa-mir-935	100126325	-0.506747570598556	-0.181282429401444	0.325465141197112	17935	12279		midleft	22
NME6	-0.410071042805045	-0.0686769571949549	10201	NME6	NME6	10201	-0.410071042805045	-0.0686769571949549	0.34139408561009	17971	13826		midleft	50
LHFP	-0.34377816678246	0.0568051667824597	10186	LHFP	LHFP	10186	-0.34377816678246	0.0568051667824597	0.400583333564919	18060	16160		midleft	92
FOXE1	-0.439307422075693	-0.160982577924307	2304	FOXE1	FOXE1	2304	-0.439307422075693	-0.160982577924307	0.278324844151385	17755	3775		midleft	39
RNF19A	-0.309502330997865	0.0934563309978645	25897	RNF19A	RNF19A	25897	-0.309502330997865	0.0934563309978645	0.402958661995729	18062	5386		midleft	120
SULT1A4	-0.726731110497202	-0.187908889502798	445329	SULT1A4	SULT1A4	445329	-0.726731110497202	-0.187908889502798	0.538822220994405	18108	11638		midleft	6
EIF4G3	-0.330667073711438	-0.0234449262885623	8672	EIF4G3	EIF4G3	8672	-0.330667073711438	-0.0234449262885623	0.307222147422875	17877	10618		midleft	101
TMEM254	-0.325529472625568	-0.0540795273744324	80195	TMEM254	TMEM254	80195	-0.325529472625568	-0.0540795273744324	0.271449945251135	17720	3349		midleft	104
GNMT	-0.336693429322866	-0.0529965706771342	27232	GNMT	GNMT	27232	-0.336693429322866	-0.0529965706771342	0.283696858645732	17784	6769		midleft	97
ECSIT	-0.32064702113342	0.0470540211334199	51295	ECSIT	ECSIT	51295	-0.32064702113342	0.0470540211334199	0.36770104226684	18012	1468		midleft	110
MYO1A	-0.325033832618763	0.0704728326187625	4640	MYO1A	MYO1A	4640	-0.325033832618763	0.0704728326187625	0.395506665237525	18056	17928		midleft	105
U2AF1	-0.558524135059056	-0.0440478649409436	7307	U2AF1	U2AF1	7307	-0.558524135059056	-0.0440478649409436	0.514476270118113	18104	6189		midleft	16
MAGEB6	-0.359489908810567	-0.0606020911894326	158809	MAGEB6	MAGEB6	158809	-0.359489908810567	-0.0606020911894326	0.298887817621135	17852	6283		midleft	86
EPCAM	-0.630634959768369	-0.209575040231631	4072	EPCAM	EPCAM	4072	-0.630634959768369	-0.209575040231631	0.421059919536739	18078	9671		midleft	11
NKX2-2	-0.489426696367615	-0.0109333036323847	4821	NKX2-2	NKX2-2	4821	-0.489426696367615	-0.0109333036323847	0.478493392735231	18097	12559		midleft	31
TEKT2	-0.396669644076985	-0.0372973559230146	27285	TEKT2	TEKT2	27285	-0.396669644076985	-0.0372973559230146	0.359372288153971	17997	4237		midleft	56
GOLIM4	-0.318539742925495	-0.00411025707450528	27333	GOLIM4	GOLIM4	27333	-0.318539742925495	-0.00411025707450528	0.314429485850989	17899	8687		midleft	114
SCGN	-0.30735176482288	-0.0105462351771202	10590	SCGN	SCGN	10590	-0.30735176482288	-0.0105462351771202	0.29680552964576	17841	13172		midleft	122
OR56A5	-0.553057169323954	-0.106512830676046	390084	OR56A5	OR56A5	390084	-0.553057169323954	-0.106512830676046	0.446544338647909	18091	3659		midleft	18
NPY4R	-0.61653216559485	-0.23470783440515	5540	NPY4R	NPY4R	5540	-0.61653216559485	-0.23470783440515	0.3818243311897	18044	1523		midleft	12
DEFB106B	-0.854979100565607	0.0290311005656065	503841	DEFB106B	DEFB106B	503841	-0.854979100565607	0.0290311005656065	0.884010201131213	18119	11105	DEFB106B	midleft	3
TCTE1	-0.513477877469855	-0.206072122530145	202500	TCTE1	TCTE1	202500	-0.513477877469855	-0.206072122530145	0.307405754939711	17879	3497		midleft	21
LECT1	-0.425042818582537	-0.0819371814174635	11061	LECT1	LECT1	11061	-0.425042818582537	-0.0819371814174635	0.343105637165073	17974	18073		midleft	44
FRS2	-0.364873851220728	-0.0319801487792717	10818	FRS2	FRS2	10818	-0.364873851220728	-0.0319801487792717	0.332893702441457	17950	9813		midleft	80
hsa-mir-548f-2	-0.456461000146202	-0.123908999853798	100313771	hsa-mir-548f-2	hsa-mir-548f-2	100313771	-0.456461000146202	-0.123908999853798	0.332552000292404	17949	17921		midleft	35
AGMO	-0.474042142968889	-0.148087857031111	392636	AGMO	AGMO	392636	-0.474042142968889	-0.148087857031111	0.325954285937777	17936	9555		midleft	33
FOXC2	-0.381228970544497	-0.00322802945550288	2303	FOXC2	FOXC2	2303	-0.381228970544497	-0.00322802945550288	0.378000941088994	18035	7281		midleft	67
ARHGAP30	-0.343501646535454	0.0299716465354543	257106	ARHGAP30	ARHGAP30	257106	-0.343501646535454	0.0299716465354543	0.373473293070909	18025	15474		midleft	94
CLTA	-0.327967124456545	-0.0632008755434549	1211	CLTA	CLTA	1211	-0.327967124456545	-0.0632008755434549	0.26476624891309	17676	10973		midleft	103
KLK15	-0.31864143992894	0.0158526399289401	55554	KLK15	KLK15	55554	-0.31864143992894	0.0158526399289401	0.33449407985788	17954	6956		midleft	113
FSIP1	-0.418187865425452	-0.0992721345745479	161835	FSIP1	FSIP1	161835	-0.418187865425452	-0.0992721345745479	0.318915730850904	17917	3608		midleft	46
CCDC74A	-0.339734423565175	-0.011006576434825	90557	CCDC74A	CCDC74A	90557	-0.339734423565175	-0.011006576434825	0.32872784713035	17939	6996		midleft	96
STON1-GTF2A1L	-0.450604479384431	-0.119635520615569	286749	STON1-GTF2A1L	STON1-GTF2A1L	286749	-0.450604479384431	-0.119635520615569	0.330968958768862	17943	15447		midleft	37
LCA5L	-0.412012288728211	-0.143257711271789	150082	LCA5L	LCA5L	150082	-0.412012288728211	-0.143257711271789	0.268754577456422	17703	9411		midleft	49
EEPD1	-0.37818764637531	-0.0827423536246903	80820	EEPD1	EEPD1	80820	-0.37818764637531	-0.0827423536246903	0.295445292750619	17833	3662		midleft	69
NPFFR2	-0.405698786796039	-0.0885212132039606	10886	NPFFR2	NPFFR2	10886	-0.405698786796039	-0.0885212132039606	0.317177573592079	17910	9367		midleft	52
NKTR	-0.401531836036316	0.176961836036316	4820	NKTR	NKTR	4820	-0.401531836036316	0.176961836036316	0.578493672072633	18111	118		midleft	54
CLDN18	-0.369073428275942	-0.0755875717240584	51208	CLDN18	CLDN18	51208	-0.369073428275942	-0.0755875717240584	0.293485856551883	17824	17813		midleft	75
GRK4	-0.360452958269727	0.0178738582697268	2868	GRK4	GRK4	2868	-0.360452958269727	0.0178738582697268	0.378326816539453	18037	2469		midleft	84
CNRIP1	-0.496801875637445	-0.0740881243625554	25927	CNRIP1	CNRIP1	25927	-0.496801875637445	-0.0740881243625554	0.422713751274889	18080	10978		midleft	26
CCDC58	-0.362270049303536	0.0645820493035357	131076	CCDC58	CCDC58	131076	-0.362270049303536	0.0645820493035357	0.426852098607071	18085	17043		midleft	82
MXRA8	-0.353815709033136	-0.0345312909668636	54587	MXRA8	MXRA8	54587	-0.353815709033136	-0.0345312909668636	0.319284418066273	17919	16739		midleft	88
TICAM1	-0.370616417058365	-0.088443582941635	148022	TICAM1	TICAM1	148022	-0.370616417058365	-0.088443582941635	0.28217283411673	17773	5100		midleft	73
SYNPO2	-0.385756295386645	-0.0635737046133545	171024	SYNPO2	SYNPO2	171024	-0.385756295386645	-0.0635737046133545	0.322182590773291	17930	16007		midleft	63
C9orf173	-0.317908836647387	0.0918368366473873	441476	C9orf173	C9orf173	441476	-0.317908836647387	0.0918368366473873	0.409745673294775	18068	5781		midleft	115
CARD14	-0.354323516175845	0.0844905161758451	79092	CARD14	CARD14	79092	-0.354323516175845	0.0844905161758451	0.43881403235169	18089	14180		midleft	87
KIFC2	-0.305820827490706	-0.0299331725092945	90990	KIFC2	KIFC2	90990	-0.305820827490706	-0.0299331725092945	0.275887654981411	17740	18010		midleft	124
CHST14	-0.346956341017188	0.0163174710171884	113189	CHST14	CHST14	113189	-0.346956341017188	0.0163174710171884	0.363273812034377	18003	269		midleft	91
NREP	-0.312908828915464	-0.0366071710845363	9315	NREP	NREP	9315	-0.312908828915464	-0.0366071710845363	0.276301657830927	17743	12962		midleft	118
TMPRSS11B	-0.38252439985559	-0.0700956001444101	132724	TMPRSS11B	TMPRSS11B	132724	-0.38252439985559	-0.0700956001444101	0.31242879971118	17891	11412		midleft	66
FAM177B	-0.321293751316968	-0.0436542486830324	400823	FAM177B	FAM177B	400823	-0.321293751316968	-0.0436542486830324	0.277639502633935	17751	16312		midleft	107
PRY2	-0.376350875768135	-0.112649124231865	442862	PRY2	PRY2	442862	-0.376350875768135	-0.112649124231865	0.26370175153627	17670	12656		midleft	70
C14orf180	-0.39035411154432	-0.0293908884556802	400258	C14orf180	C14orf180	400258	-0.39035411154432	-0.0293908884556802	0.36096322308864	18002	796		midleft	58
hsa-mir-1908	-0.639580075263134	-0.303119924736866	100302263	hsa-mir-1908	hsa-mir-1908	100302263	-0.639580075263134	-0.303119924736866	0.336460150526268	17960	5813		midleft	9
SYNGR2	-0.771369008623197	-0.200640991376803	9144	SYNGR2	SYNGR2	9144	-0.771369008623197	-0.200640991376803	0.570728017246394	18110	8368	SYNGR2	midleft	5
ZNF704	-0.370371920999405	-0.0767760790005953	619279	ZNF704	ZNF704	619279	-0.370371920999405	-0.0767760790005953	0.293595841998809	17825	12229		midleft	74
MBD3L5	-0.604385302005297	-0.229214697994703	284428	MBD3L5	MBD3L5	284428	-0.604385302005297	-0.229214697994703	0.375170604010594	18030	10083		midleft	13
ZNF442	-0.566106849177815	-0.289793150822185	79973	ZNF442	ZNF442	79973	-0.566106849177815	-0.289793150822185	0.276313698355629	17745	10186		midleft	15
CITED4	-0.385272963499277	-0.0710410365007234	163732	CITED4	CITED4	163732	-0.385272963499277	-0.0710410365007234	0.314231926998553	17897	4796		midleft	64
TMEM163	-0.542455317408355	-0.142524682591646	81615	TMEM163	TMEM163	81615	-0.542455317408355	-0.142524682591646	0.399930634816709	18058	8789		midleft	20
POTEM	-1.05781758143804	-0.153482418561964	641455	POTEM	POTEM	641455	-1.05781758143804	-0.153482418561964	0.904335162876071	18120	16264	POTEM	midleft	1
BIVM-ERCC5	-1.01291689608867	-0.299873103911328	100533467	BIVM-ERCC5	BIVM-ERCC5	100533467	-1.01291689608867	-0.299873103911328	0.713043792177344	18118	3449	BIVM-ERCC5	midleft	2
LIMS3L	-0.631094421400667	-0.116925578599333	100288695	LIMS3L	LIMS3L	100288695	-0.631094421400667	-0.116925578599333	0.514168842801333	18103	2480		midleft	10
hsa-mir-1264	0.040967991196302	0.307933008803698	100302251	hsa-mir-1264	hsa-mir-1264	100302251	0.040967991196302	0.307933008803698	0.266965017607396	17692	4489		topcenter	49
AKTIP	0.0672228849372884	0.474714115062712	64400	AKTIP	AKTIP	64400	0.0672228849372884	0.474714115062712	0.407491230125423	18067	13299	AKTIP	topcenter	4
hsa-mir-875	-0.107801303714565	0.337131303714565	100126309	hsa-mir-875	hsa-mir-875	100126309	-0.107801303714565	0.337131303714565	0.444932607429129	18090	10187		topcenter	34
PCDHGA6	-0.052789479418446	0.331635479418446	56109	PCDHGA6	PCDHGA6	56109	-0.052789479418446	0.331635479418446	0.384424958836892	18048	12505		topcenter	36
MT1F	-0.0140610285669995	0.358890028567	4494	MT1F	MT1F	4494	-0.0140610285669995	0.358890028567	0.372951057133999	18023	2321		topcenter	23
OR5H6	0.100726721677883	0.384793278322117	79295	OR5H6	OR5H6	79295	0.100726721677883	0.384793278322117	0.284066556644234	17786	14613		topcenter	15
ZNF85	0.0489407355432336	0.313748264456766	7639	ZNF85	ZNF85	7639	0.0489407355432336	0.313748264456766	0.264807528913533	17677	10327		topcenter	47
C18orf63	-0.0473137983995525	0.328690798399553	644041	C18orf63	C18orf63	644041	-0.0473137983995525	0.328690798399553	0.376004596799105	18031	12020		topcenter	37
CGB1	-0.00188612727772651	0.364184927277727	114335	CGB1	CGB1	114335	-0.00188612727772651	0.364184927277727	0.366071054555453	18008	2450		topcenter	22
OR52E4	-0.164013388371542	0.314733388371542	390081	OR52E4	OR52E4	390081	-0.164013388371542	0.314733388371542	0.478746776743084	18098	16617		topcenter	46
ARHGAP32	-0.108741406353534	0.398251406353534	9743	ARHGAP32	ARHGAP32	9743	-0.108741406353534	0.398251406353534	0.506992812707069	18102	12676		topcenter	13
SPN	-0.0848968534486737	0.332568853448674	6693	SPN	SPN	6693	-0.0848968534486737	0.332568853448674	0.417465706897347	18076	17390		topcenter	35
ATP2B3	0.0430938685458074	0.364935131454193	492	ATP2B3	ATP2B3	492	0.0430938685458074	0.364935131454193	0.321841262908385	17927	2759		topcenter	21
RABL5	-0.0512083250981063	0.358791325098106	64792	RABL5	RABL5	64792	-0.0512083250981063	0.358791325098106	0.409999650196213	18069	16385		topcenter	24
ZDHHC4	0.0451405471742796	0.37504645282572	55146	ZDHHC4	ZDHHC4	55146	0.0451405471742796	0.37504645282572	0.329905905651441	17942	5047		topcenter	20
CLPTM1L	0.0303311270652147	0.352879872934785	81037	CLPTM1L	CLPTM1L	81037	0.0303311270652147	0.352879872934785	0.322548745869571	17931	17297		topcenter	26
OR10G3	0.0247642288711457	0.381184771128854	26533	OR10G3	OR10G3	26533	0.0247642288711457	0.381184771128854	0.356420542257709	17992	8232		topcenter	16
TUBAL3	0.11572703291531	0.37902296708469	79861	TUBAL3	TUBAL3	79861	0.11572703291531	0.37902296708469	0.26329593416938	17665	9002		topcenter	17
GREM1	-0.183272119541379	0.415702119541379	26585	GREM1	GREM1	26585	-0.183272119541379	0.415702119541379	0.598974239082759	18115	5561		topcenter	10
RLN2	0.141567150032279	0.409402849967721	6019	RLN2	RLN2	6019	0.141567150032279	0.409402849967721	0.267835699935442	17696	15543		topcenter	11
C12orf50	0.0688115322091452	0.345012467790855	160419	C12orf50	C12orf50	160419	0.0688115322091452	0.345012467790855	0.27620093558171	17742	16055		topcenter	28
MRRF	0.0879308036323171	0.405335196367683	92399	MRRF	MRRF	92399	0.0879308036323171	0.405335196367683	0.317404392735366	17911	11270		topcenter	12
SPIRE1	0.044757483253438	0.342547516746562	56907	SPIRE1	SPIRE1	56907	0.044757483253438	0.342547516746562	0.297790033493124	17845	16262		topcenter	31
HLA-DQA2	0.00582661055641893	0.322632389443581	3118	HLA-DQA2	HLA-DQA2	3118	0.00582661055641893	0.322632389443581	0.316805778887162	17908	747		topcenter	42
SRD5A1	0.127697407006358	0.551052592993642	6715	SRD5A1	SRD5A1	6715	0.127697407006358	0.551052592993642	0.423355185987284	18081	16335	SRD5A1	topcenter	1
FKBP4	0.0265415610527256	0.326789438947274	2288	FKBP4	FKBP4	2288	0.0265415610527256	0.326789438947274	0.300247877894549	17859	10762		topcenter	38
KRAS	-0.144641981929155	0.325471981929154	3845	KRAS	KRAS	3845	-0.144641981929155	0.325471981929154	0.470113963858309	18095	3697		topcenter	39
OR4P4	-0.0321138659807699	0.30664986598077	81300	OR4P4	OR4P4	81300	-0.0321138659807699	0.30664986598077	0.33876373196154	17964	840		topcenter	51
CBLN3	-0.0625681787158232	0.307167178715823	643866	CBLN3	CBLN3	643866	-0.0625681787158232	0.307167178715823	0.369735357431646	18017	4251		topcenter	50
hsa-mir-6862-2	-0.0478874759359777	0.454420475935978	102465907	hsa-mir-6862-2	hsa-mir-6862-2	102465907	-0.0478874759359777	0.454420475935978	0.502307951871955	18100	8572	hsa-mir-6862-2	topcenter	5
SHOX2	0.0274720405037144	0.310928959496286	6474	SHOX2	SHOX2	6474	0.0274720405037144	0.310928959496286	0.283456918992571	17777	14652		topcenter	48
AIF1L	-0.0369424621963054	0.317606462196305	83543	AIF1L	AIF1L	83543	-0.0369424621963054	0.317606462196305	0.354548924392611	17990	12311		topcenter	44
FAM47C	0.0225225852915911	0.306204414708409	442444	FAM47C	FAM47C	442444	0.0225225852915911	0.306204414708409	0.283681829416818	17783	9630		topcenter	52
LYRM9	0.0383682655652965	0.342851734434704	201229	LYRM9	LYRM9	201229	0.0383682655652965	0.342851734434704	0.304483468869407	17871	7604		topcenter	30
ZNF621	0.0344693698739678	0.304271630126032	285268	ZNF621	ZNF621	285268	0.0344693698739678	0.304271630126032	0.269802260252064	17710	13887		topcenter	53
LY75-CD302	0.0236242523908396	0.32154274760916	100526664	LY75-CD302	LY75-CD302	100526664	0.0236242523908396	0.32154274760916	0.297918495218321	17846	60		topcenter	43
PPM1E	0.0516400027398189	0.315425997260181	22843	PPM1E	PPM1E	22843	0.0516400027398189	0.315425997260181	0.263785994520362	17672	4043		topcenter	45
SLC6A14	-0.106393287550787	0.419963287550787	11254	SLC6A14	SLC6A14	11254	-0.106393287550787	0.419963287550787	0.526356575101574	18107	15190		topcenter	9
RBMY1J	0.019860428108648	0.448484571891352	378951	RBMY1J	RBMY1J	378951	0.019860428108648	0.448484571891352	0.428624143782704	18086	7530		topcenter	6
hsa-mir-302f	0.0837303193263026	0.352138680673697	100302131	hsa-mir-302f	hsa-mir-302f	100302131	0.0837303193263026	0.352138680673697	0.268408361347395	17700	1651		topcenter	27
DRAM2	-0.0616214471625089	0.357492447162509	128338	DRAM2	DRAM2	128338	-0.0616214471625089	0.357492447162509	0.419113894325018	18077	18064		topcenter	25
PGM3	-0.194579828209758	0.322969828209758	5238	PGM3	PGM3	5238	-0.194579828209758	0.322969828209758	0.517549656419517	18106	128		topcenter	40
ELK1	0.0313913688220071	0.338954631177993	2002	ELK1	ELK1	2002	0.0313913688220071	0.338954631177993	0.307563262355986	17882	12421		topcenter	33
hsa-mir-6739	0.0637080615472605	0.339790938452739	102466724	hsa-mir-6739	hsa-mir-6739	102466724	0.0637080615472605	0.339790938452739	0.276082876905479	17741	15277		topcenter	32
