Gene	D7	D14	EntrezID	Symbol	HumanGene	GeneID	Control	Treatment	Diff
LXN	-0.0276937905363663	-0.00387620946363369	56925	LXN	LXN	56925	-0.0276937905363663	-0.00387620946363369	0.0238175810727326
CRELD1	0.119789483943899	0.103760516056101	78987	CRELD1	CRELD1	78987	0.119789483943899	0.103760516056101	-0.0160289678877989
CHFR	-0.239016848816129	-0.241633151183871	55743	CHFR	CHFR	55743	-0.239016848816129	-0.241633151183871	-0.0026163023677413
KRTAP4-1	0.0242010964147297	-0.11809509641473	85285	KRTAP4-1	KRTAP4-1	85285	0.0242010964147297	-0.11809509641473	-0.142296192829459
TMEM106C	0.0398242333428279	0.0624877666571721	79022	TMEM106C	TMEM106C	79022	0.0398242333428279	0.0624877666571721	0.0226635333143442
RIBC1	0.0196001436214415	-0.0090941436214415	158787	RIBC1	RIBC1	158787	0.0196001436214415	-0.0090941436214415	-0.028694287242883
hsa-mir-6732	0.133877943852982	0.152562056147018	102465438	hsa-mir-6732	hsa-mir-6732	102465438	0.133877943852982	0.152562056147018	0.0186841122940366
RAP1A	0.120200244798056	-0.0173522447980559	5906	RAP1A	RAP1A	5906	0.120200244798056	-0.0173522447980559	-0.137552489596112
WSB1	0.185701513360263	-0.00626881336026284	26118	WSB1	WSB1	26118	0.185701513360263	-0.00626881336026284	-0.191970326720526
ELF4	0.0474919485879192	0.177314051412081	2000	ELF4	ELF4	2000	0.0474919485879192	0.177314051412081	0.129822102824162
TRPM6	0.0248937820944637	-0.0147977820944637	140803	TRPM6	TRPM6	140803	0.0248937820944637	-0.0147977820944637	-0.0396915641889274
LMTK2	-0.0916286028926482	0.0222876028926482	22853	LMTK2	LMTK2	22853	-0.0916286028926482	0.0222876028926482	0.113916205785296
OR51T1	0.039163255911644	0.018753744088356	401665	OR51T1	OR51T1	401665	0.039163255911644	0.018753744088356	-0.020409511823288
SUPV3L1	0.0182919972775092	-0.0456969972775092	6832	SUPV3L1	SUPV3L1	6832	0.0182919972775092	-0.0456969972775092	-0.0639889945550184
ERBB2IP	0.0496722633135896	-0.0809842633135896	55914	ERBB2IP	ERBB2IP	55914	0.0496722633135896	-0.0809842633135896	-0.130656526627179
SLC24A3	-0.436123702726593	-0.044860297273407	57419	SLC24A3	SLC24A3	57419	-0.436123702726593	-0.044860297273407	0.391263405453186
C1QTNF9B-AS1	-0.11507753440788	-0.12984246559212	542767	C1QTNF9B-AS1	C1QTNF9B-AS1	542767	-0.11507753440788	-0.12984246559212	-0.014764931184239
SLC35G5	-0.368489558272018	-0.112610441727982	83650	SLC35G5	SLC35G5	83650	-0.368489558272018	-0.112610441727982	0.255879116544036
ABHD8	0.149474831474098	0.0898561685259024	79575	ABHD8	ABHD8	79575	0.149474831474098	0.0898561685259024	-0.0596186629481952
RLIM	-0.116993953423502	-0.143516046576498	51132	RLIM	RLIM	51132	-0.116993953423502	-0.143516046576498	-0.0265220931529961
POLL	-0.166298453520239	-0.031884546479761	27343	POLL	POLL	27343	-0.166298453520239	-0.031884546479761	0.134413907040478
NAA11	0.10473523982482	0.15835476017518	84779	NAA11	NAA11	84779	0.10473523982482	0.15835476017518	0.0536195203503609
SUMO4	-0.0131399840357806	-0.0867285159642194	387082	SUMO4	SUMO4	387082	-0.0131399840357806	-0.0867285159642194	-0.0735885319284388
PRPF4B	0.00742174047806016	0.0570246595219398	8899	PRPF4B	PRPF4B	8899	0.00742174047806016	0.0570246595219398	0.0496029190438797
POMK	-0.138934890946488	-0.0181011090535118	84197	POMK	POMK	84197	-0.138934890946488	-0.0181011090535118	0.120833781892976
MAPK1	0.169908647653979	0.0713673523460206	5594	MAPK1	MAPK1	5594	0.169908647653979	0.0713673523460206	-0.0985412953079589
CCDC168	0.0510675908835879	-0.0554345908835879	643677	CCDC168	CCDC168	643677	0.0510675908835879	-0.0554345908835879	-0.106502181767176
RAB10	-0.0151849797080741	-0.0437900202919259	10890	RAB10	RAB10	10890	-0.0151849797080741	-0.0437900202919259	-0.0286050405838519
RWDD2A	-0.148614828990388	-0.0571701710096119	112611	RWDD2A	RWDD2A	112611	-0.148614828990388	-0.0571701710096119	0.0914446579807762
HGS	-0.00567714528919425	-0.0963522147108057	9146	HGS	HGS	9146	-0.00567714528919425	-0.0963522147108057	-0.0906750694216115
THEM5	-0.0855292397193949	-0.119444760280605	284486	THEM5	THEM5	284486	-0.0855292397193949	-0.119444760280605	-0.0339155205612102
FGF11	-0.0259347483007385	-0.222038251699261	2256	FGF11	FGF11	2256	-0.0259347483007385	-0.222038251699261	-0.196103503398523
EXOC3L4	0.0975601001319896	0.13546789986801	91828	EXOC3L4	EXOC3L4	91828	0.0975601001319896	0.13546789986801	0.0379077997360207
FAM180B	0.00452573125877001	-0.10094473125877	399888	FAM180B	FAM180B	399888	0.00452573125877001	-0.10094473125877	-0.10547046251754
LOH12CR1	-0.0290715533307537	-0.192655446669246	118426	LOH12CR1	LOH12CR1	118426	-0.0290715533307537	-0.192655446669246	-0.163583893338493
MICALCL	0.0288236086947152	-0.122058608694715	9645	MICALCL	MICALCL	9645	0.0288236086947152	-0.122058608694715	-0.15088221738943
DNMBP	-0.116454495389283	-0.095865504610717	23268	DNMBP	DNMBP	23268	-0.116454495389283	-0.095865504610717	0.020588990778566
CAV3	-0.157100381301225	-0.0466426186987746	859	CAV3	CAV3	859	-0.157100381301225	-0.0466426186987746	0.110457762602451
TAL2	-0.0448075635399984	-0.0055704364600016	6887	TAL2	TAL2	6887	-0.0448075635399984	-0.0055704364600016	0.0392371270799968
FAM84A	-0.0658731827519524	-0.107924817248048	151354	FAM84A	FAM84A	151354	-0.0658731827519524	-0.107924817248048	-0.0420516344960951
CDH8	-0.195782530800546	-0.00692046919945426	1006	CDH8	CDH8	1006	-0.195782530800546	-0.00692046919945426	0.188862061601091
KRTAP22-1	-0.0849541206608323	-0.0424208793391677	337979	KRTAP22-1	KRTAP22-1	337979	-0.0849541206608323	-0.0424208793391677	0.0425332413216645
SBF2	-0.0236794820195922	0.0151774820195922	81846	SBF2	SBF2	81846	-0.0236794820195922	0.0151774820195922	0.0388569640391844
hsa-mir-1205	-0.177232673389602	-0.171267326610398	100302161	hsa-mir-1205	hsa-mir-1205	100302161	-0.177232673389602	-0.171267326610398	0.00596534677920499
OR4D10	-0.0508156365908655	0.0466256365908655	390197	OR4D10	OR4D10	390197	-0.0508156365908655	0.0466256365908655	0.0974412731817309
MYO18B	-0.134142648494546	-0.233477351505454	84700	MYO18B	MYO18B	84700	-0.134142648494546	-0.233477351505454	-0.0993347030109085
NMS	-0.00549000016368706	-0.196821699836313	129521	NMS	NMS	129521	-0.00549000016368706	-0.196821699836313	-0.191331699672626
hsa-mir-888	-0.245000191849171	0.0346991918491706	100126306	hsa-mir-888	hsa-mir-888	100126306	-0.245000191849171	0.0346991918491706	0.279699383698341
NBN	-0.117450004887306	-0.208909995112694	4683	NBN	NBN	4683	-0.117450004887306	-0.208909995112694	-0.0914599902253877
hsa-mir-532	-0.198967954541363	-0.0604550454586366	693124	hsa-mir-532	hsa-mir-532	693124	-0.198967954541363	-0.0604550454586366	0.138512909082727
QSOX2	-0.0719329320108252	0.0193469320108252	169714	QSOX2	QSOX2	169714	-0.0719329320108252	0.0193469320108252	0.0912798640216504
FZD9	-0.0216924981740562	-0.0395375018259438	8326	FZD9	FZD9	8326	-0.0216924981740562	-0.0395375018259438	-0.0178450036518876
GBP3	-0.022778597603324	0.094387597603324	2635	GBP3	GBP3	2635	-0.022778597603324	0.094387597603324	0.117166195206648
ACVR1C	0.10131024572756	0.07720075427244	130399	ACVR1C	ACVR1C	130399	0.10131024572756	0.07720075427244	-0.02410949145512
COL7A1	0.0416816746476796	0.0194403253523204	1294	COL7A1	COL7A1	1294	0.0416816746476796	0.0194403253523204	-0.0222413492953592
NICN1	0.11916352968343	0.18771647031657	84276	NICN1	NICN1	84276	0.11916352968343	0.18771647031657	0.0685529406331394
SLC22A20	-0.0920748408997719	0.0207438408997719	440044	SLC22A20	SLC22A20	440044	-0.0920748408997719	0.0207438408997719	0.112818681799544
OLFML2B	-0.04335161542619	0.02305361542619	25903	OLFML2B	OLFML2B	25903	-0.04335161542619	0.02305361542619	0.06640523085238
PGRMC1	-0.0411591693218884	-0.168078830678112	10857	PGRMC1	PGRMC1	10857	-0.0411591693218884	-0.168078830678112	-0.126919661356223
CA2	0.113317550201103	0.231812449798897	760	CA2	CA2	760	0.113317550201103	0.231812449798897	0.118494899597795
CRYBB2	-0.0439378674649589	-0.0415481325350411	1415	CRYBB2	CRYBB2	1415	-0.0439378674649589	-0.0415481325350411	0.00238973492991788
BSN	0.0257886926763737	-0.0902326926763737	8927	BSN	BSN	8927	0.0257886926763737	-0.0902326926763737	-0.116021385352747
VEGFB	0.163975577299408	0.250044422700592	7423	VEGFB	VEGFB	7423	0.163975577299408	0.250044422700592	0.0860688454011831
BATF3	-0.349080464531996	-0.0280255354680036	55509	BATF3	BATF3	55509	-0.349080464531996	-0.0280255354680036	0.321054929063993
FASN	-0.172905888399127	-0.316974111600873	2194	FASN	FASN	2194	-0.172905888399127	-0.316974111600873	-0.144068223201746
C10orf67	-0.0599519492355125	-0.0581590507644875	256815	C10orf67	C10orf67	256815	-0.0599519492355125	-0.0581590507644875	0.00179289847102494
CGA	-0.118073433640542	-0.199206566359458	1081	CGA	CGA	1081	-0.118073433640542	-0.199206566359458	-0.0811331327189151
ALCAM	0.0380687658724503	0.11500023412755	214	ALCAM	ALCAM	214	0.0380687658724503	0.11500023412755	0.0769314682550994
TCHHL1	0.200141937196869	0.231858062803131	126637	TCHHL1	TCHHL1	126637	0.200141937196869	0.231858062803131	0.0317161256062615
SYAP1	0.249676447542716	0.0448325524572845	94056	SYAP1	SYAP1	94056	0.249676447542716	0.0448325524572845	-0.204843895085431
hsa-mir-503	-0.113518751419349	-0.00834824858065067	574506	hsa-mir-503	hsa-mir-503	574506	-0.113518751419349	-0.00834824858065067	0.105170502838699
CMTM1	0.559564766988952	0.380665233011048	113540	CMTM1	CMTM1	113540	0.559564766988952	0.380665233011048	-0.178899533977904
SCRT2	-0.18228020528004	-0.0897797947199604	85508	SCRT2	SCRT2	85508	-0.18228020528004	-0.0897797947199604	0.0925004105600793
PTCD2	0.0188607115769657	0.0450892884230343	79810	PTCD2	PTCD2	79810	0.0188607115769657	0.0450892884230343	0.0262285768460685
CCDC134	0.0800241825893725	0.0985998174106275	79879	CCDC134	CCDC134	79879	0.0800241825893725	0.0985998174106275	0.0185756348212551
SMAD2	-0.102937280723611	0.0984822807236111	4087	SMAD2	SMAD2	4087	-0.102937280723611	0.0984822807236111	0.201419561447222
FDX1L	-0.493840013272789	-0.671539986727211	112812	FDX1L	FDX1L	112812	-0.493840013272789	-0.671539986727211	-0.177699973454422
SPAG11A	0.0443318189099802	-0.0375778189099802	653423	SPAG11A	SPAG11A	653423	0.0443318189099802	-0.0375778189099802	-0.0819096378199603
RAB19	-0.0823563592971395	0.0132523592971395	401409	RAB19	RAB19	401409	-0.0823563592971395	0.0132523592971395	0.0956087185942791
ARTN	0.0622128578703693	-0.0449168578703693	9048	ARTN	ARTN	9048	0.0622128578703693	-0.0449168578703693	-0.107129715740739
GP2	0.000966140648217312	-0.114440140648217	2813	GP2	GP2	2813	0.000966140648217312	-0.114440140648217	-0.115406281296435
hsa-mir-767	-0.167707868936788	0.109137868936788	768215	hsa-mir-767	hsa-mir-767	768215	-0.167707868936788	0.109137868936788	0.276845737873575
RIN2	-0.0779407626943501	0.0206647626943501	54453	RIN2	RIN2	54453	-0.0779407626943501	0.0206647626943501	0.0986055253887001
RPIA	-0.35119529396057	-0.20288470603943	22934	RPIA	RPIA	22934	-0.35119529396057	-0.20288470603943	0.14831058792114
TAB2	0.0184467922295395	-0.10728479222954	23118	TAB2	TAB2	23118	0.0184467922295395	-0.10728479222954	-0.125731584459079
DAOA	0.046109270939164	0.021788729060836	267012	DAOA	DAOA	267012	0.046109270939164	0.021788729060836	-0.024320541878328
LMO2	0.100636402945746	-0.0565244029457464	4005	LMO2	LMO2	4005	0.100636402945746	-0.0565244029457464	-0.157160805891493
LYPD6B	0.0713095715759746	0.0560684284240254	130576	LYPD6B	LYPD6B	130576	0.0713095715759746	0.0560684284240254	-0.0152411431519492
SLC13A3	-0.1089501985724	0.0199711985723997	64849	SLC13A3	SLC13A3	64849	-0.1089501985724	0.0199711985723997	0.128921397144799
PRM3	-0.142048149050472	-0.0863648509495276	58531	PRM3	PRM3	58531	-0.142048149050472	-0.0863648509495276	0.0556832981009448
DNAJC12	0.034323880737535	0.00868621926246499	56521	DNAJC12	DNAJC12	56521	0.034323880737535	0.00868621926246499	-0.02563766147507
CALCOCO2	0.0326775009653141	-0.140519500965314	10241	CALCOCO2	CALCOCO2	10241	0.0326775009653141	-0.140519500965314	-0.173197001930628
ZNF202	0.082301529201459	0.105786470798541	7753	ZNF202	ZNF202	7753	0.082301529201459	0.105786470798541	0.0234849415970819
DARC	0.0545668125448512	-0.499264812544851	2532	DARC	DARC	2532	0.0545668125448512	-0.499264812544851	-0.553831625089702
FBXO22	-0.173176197988941	-0.135203802011059	26263	FBXO22	FBXO22	26263	-0.173176197988941	-0.135203802011059	0.0379723959778826
ELMOD3	-0.0152984489973708	-0.00102205100262919	84173	ELMOD3	ELMOD3	84173	-0.0152984489973708	-0.00102205100262919	0.0142763979947416
SPRYD4	-0.00687631013962471	-0.107978279860375	283377	SPRYD4	SPRYD4	283377	-0.00687631013962471	-0.107978279860375	-0.101101969720751
METTL6	-0.357355135921141	-0.163044864078859	131965	METTL6	METTL6	131965	-0.357355135921141	-0.163044864078859	0.194310271842281
NSUN3	-0.140152129013734	-0.133557870986266	63899	NSUN3	NSUN3	63899	-0.140152129013734	-0.133557870986266	0.00659425802746877
C14orf132	0.110988891103797	0.153251108896203	56967	C14orf132	C14orf132	56967	0.110988891103797	0.153251108896203	0.0422622177924055
NMRAL1	-0.104561658325238	-0.118071341674762	57407	NMRAL1	NMRAL1	57407	-0.104561658325238	-0.118071341674762	-0.0135096833495232
OR5F1	0.0987659480995861	0.0682420519004139	338674	OR5F1	OR5F1	338674	0.0987659480995861	0.0682420519004139	-0.0305238961991723
CCNL2	-0.194052738970075	0.0123422389700752	81669	CCNL2	CCNL2	81669	-0.194052738970075	0.0123422389700752	0.20639497794015
RNASEL	0.220173788436669	0.304036211563331	6041	RNASEL	RNASEL	6041	0.220173788436669	0.304036211563331	0.0838624231266614
SH2D1B	0.0182847060839804	0.0446222939160196	117157	SH2D1B	SH2D1B	117157	0.0182847060839804	0.0446222939160196	0.0263375878320392
DPY30	0.0524282205989342	-0.0843682205989342	84661	DPY30	DPY30	84661	0.0524282205989342	-0.0843682205989342	-0.136796441197868
CSRP1	0.0109149977612482	0.128018002238752	1465	CSRP1	CSRP1	1465	0.0109149977612482	0.128018002238752	0.117103004477504
ALS2CR12	-0.00825089895435845	-0.113678831045642	130540	ALS2CR12	ALS2CR12	130540	-0.00825089895435845	-0.113678831045642	-0.105427932091283
CRAMP1L	-0.239083165620901	-0.0355658343790986	57585	CRAMP1L	CRAMP1L	57585	-0.239083165620901	-0.0355658343790986	0.203517331241803
CLINT1	-0.138451258458665	-0.0147887415413351	9685	CLINT1	CLINT1	9685	-0.138451258458665	-0.0147887415413351	0.12366251691733
FLCN	0.114526253053292	-0.112116253053292	201163	FLCN	FLCN	201163	0.114526253053292	-0.112116253053292	-0.226642506106585
TREML2	0.015844108718975	0.224523891281025	79865	TREML2	TREML2	79865	0.015844108718975	0.224523891281025	0.20867978256205
SEMA6C	0.079249414307947	0.00839758569205302	10500	SEMA6C	SEMA6C	10500	0.079249414307947	0.00839758569205302	-0.070851828615894
PMAIP1	-0.0275990881350433	0.154023088135043	5366	PMAIP1	PMAIP1	5366	-0.0275990881350433	0.154023088135043	0.181622176270087
ADAT1	0.0677766896245462	-0.0313436896245462	23536	ADAT1	ADAT1	23536	0.0677766896245462	-0.0313436896245462	-0.0991203792490924
AGAP4	-0.268141336747813	-0.449128663252187	119016	AGAP4	AGAP4	119016	-0.268141336747813	-0.449128663252187	-0.180987326504374
FBXW11	-0.246820739043474	-0.293899260956526	23291	FBXW11	FBXW11	23291	-0.246820739043474	-0.293899260956526	-0.0470785219130523
HIST1H4B	-0.142820077224359	-0.0677499227756409	8366	HIST1H4B	HIST1H4B	8366	-0.142820077224359	-0.0677499227756409	0.0750701544487181
IL18RAP	-0.0588751544229823	-0.212585845577018	8807	IL18RAP	IL18RAP	8807	-0.0588751544229823	-0.212585845577018	-0.153710691154035
LRRK2	0.1236440297823	0.0725199702177	120892	LRRK2	LRRK2	120892	0.1236440297823	0.0725199702177	-0.0511240595645999
ITIH2	0.203281399848233	0.0935266001517671	3698	ITIH2	ITIH2	3698	0.203281399848233	0.0935266001517671	-0.109754799696466
SCAF4	-0.130553291224973	-0.0814627087750274	57466	SCAF4	SCAF4	57466	-0.130553291224973	-0.0814627087750274	0.0490905824499453
CYP2S1	0.261502878903248	0.255627121096752	29785	CYP2S1	CYP2S1	29785	0.261502878903248	0.255627121096752	-0.00587575780649663
CUX2	0.105535975360635	0.105084024639365	23316	CUX2	CUX2	23316	0.105535975360635	0.105084024639365	-0.000451950721270744
CDH18	-0.109314548285502	0.00985944828550217	1016	CDH18	CDH18	1016	-0.109314548285502	0.00985944828550217	0.119173996571004
ZNF623	-0.0090255850102645	0.125817085010264	9831	ZNF623	ZNF623	9831	-0.0090255850102645	0.125817085010264	0.134842670020529
TCF21	0.0495420339298777	0.143520966070122	6943	TCF21	TCF21	6943	0.0495420339298777	0.143520966070122	0.0939789321402446
HFE	-0.156343981782036	-0.0548760182179639	3077	HFE	HFE	3077	-0.156343981782036	-0.0548760182179639	0.101467963564072
TPP1	0.133977451938235	0.194502548061765	1200	TPP1	TPP1	1200	0.133977451938235	0.194502548061765	0.0605250961235298
EID2B	-0.032918513953258	0.027508513953258	126272	EID2B	EID2B	126272	-0.032918513953258	0.027508513953258	0.0604270279065161
FRMD8	-0.153433351126154	-0.0393576488738455	83786	FRMD8	FRMD8	83786	-0.153433351126154	-0.0393576488738455	0.114075702252309
TCTN2	0.185448692913509	0.148111307086491	79867	TCTN2	TCTN2	79867	0.185448692913509	0.148111307086491	-0.0373373858270174
DGAT2	0.0017364438086675	0.0294575561913325	84649	DGAT2	DGAT2	84649	0.0017364438086675	0.0294575561913325	0.027721112382665
STK35	-0.26281214713754	-0.11939785286246	140901	STK35	STK35	140901	-0.26281214713754	-0.11939785286246	0.143414294275079
ARMCX6	-0.210045520976509	-0.276104479023491	54470	ARMCX6	ARMCX6	54470	-0.210045520976509	-0.276104479023491	-0.0660589580469819
AFP	-0.37394770868137	-0.25620229131863	174	AFP	AFP	174	-0.37394770868137	-0.25620229131863	0.117745417362741
SEP4	-0.102365876787083	-0.177373123212917	5414	SEP4	SEP4	5414	-0.102365876787083	-0.177373123212917	-0.0750072464258337
CLEC12A	0.0728753301975271	0.0656926698024729	160364	CLEC12A	CLEC12A	160364	0.0728753301975271	0.0656926698024729	-0.00718266039505418
SLC25A28	0.103813298385236	0.104466701614764	81894	SLC25A28	SLC25A28	81894	0.103813298385236	0.104466701614764	0.000653403229528643
GTF2H2D	-0.0622504700117209	-0.285013529988279	730394	GTF2H2D	GTF2H2D	730394	-0.0622504700117209	-0.285013529988279	-0.222763059976558
MPG	0.212840197763191	0.262079802236809	4350	MPG	MPG	4350	0.212840197763191	0.262079802236809	0.0492396044736182
KCNJ14	0.0480544551569893	0.184008544843011	3770	KCNJ14	KCNJ14	3770	0.0480544551569893	0.184008544843011	0.135954089686021
TIAM1	-0.0422209003430083	0.0204929003430083	7074	TIAM1	TIAM1	7074	-0.0422209003430083	0.0204929003430083	0.0627138006860167
SLAMF6	-0.243118492331812	-0.0646545076681883	114836	SLAMF6	SLAMF6	114836	-0.243118492331812	-0.0646545076681883	0.178463984663623
NACAD	-0.0020996385955258	-0.0810966614044742	23148	NACAD	NACAD	23148	-0.0020996385955258	-0.0810966614044742	-0.0789970228089484
NKX2-3	-0.0713893116620395	0.0947893116620395	159296	NKX2-3	NKX2-3	159296	-0.0713893116620395	0.0947893116620395	0.166178623324079
PHC3	-0.0125267177756866	-0.120973182224313	80012	PHC3	PHC3	80012	-0.0125267177756866	-0.120973182224313	-0.108446464448627
SOCS4	0.110770467787957	0.145789532212043	122809	SOCS4	SOCS4	122809	0.110770467787957	0.145789532212043	0.0350190644240856
PTPRD	-0.114902042312385	-0.0632049576876149	5789	PTPRD	PTPRD	5789	-0.114902042312385	-0.0632049576876149	0.0516970846247702
C1orf63	0.0312391181043364	-0.243922118104336	57035	C1orf63	C1orf63	57035	0.0312391181043364	-0.243922118104336	-0.275161236208673
NT5C1A	-0.117117085919165	-0.000260614080835318	84618	NT5C1A	NT5C1A	84618	-0.117117085919165	-0.000260614080835318	0.116856471838329
TMCO3	-0.163444488237115	-0.00514651176288478	55002	TMCO3	TMCO3	55002	-0.163444488237115	-0.00514651176288478	0.15829797647423
PPP5C	0.0841730830114719	0.0123439169885281	5536	PPP5C	PPP5C	5536	0.0841730830114719	0.0123439169885281	-0.0718291660229438
NKX1-2	0.336385101337301	0.272584898662699	390010	NKX1-2	NKX1-2	390010	0.336385101337301	0.272584898662699	-0.0638002026746013
NT5C2	0.0889452462079952	0.0397787537920048	22978	NT5C2	NT5C2	22978	0.0889452462079952	0.0397787537920048	-0.0491664924159903
PIK3AP1	0.161612080409466	0.177927919590534	118788	PIK3AP1	PIK3AP1	118788	0.161612080409466	0.177927919590534	0.0163158391810687
CHMP7	-0.117183273365159	-0.318337726634841	91782	CHMP7	CHMP7	91782	-0.117183273365159	-0.318337726634841	-0.201154453269681
MDP1	-0.0806372750263554	-0.147935724973645	145553	MDP1	MDP1	145553	-0.0806372750263554	-0.147935724973645	-0.0672984499472893
KIAA1109	-0.0867113953330632	0.151844395333063	84162	KIAA1109	KIAA1109	84162	-0.0867113953330632	0.151844395333063	0.238555790666127
SPINK2	0.207764434631868	0.0590655653681324	6691	SPINK2	SPINK2	6691	0.207764434631868	0.0590655653681324	-0.148698869263735
DOM3Z	-0.0772252916129981	-0.101659708387002	1797	DOM3Z	DOM3Z	1797	-0.0772252916129981	-0.101659708387002	-0.0244344167740039
PABPC1L2A	-0.193822802360318	-0.160637197639682	340529	PABPC1L2A	PABPC1L2A	340529	-0.193822802360318	-0.160637197639682	0.0331856047206359
ZNF77	0.139726024650159	0.255743975349841	58492	ZNF77	ZNF77	58492	0.139726024650159	0.255743975349841	0.116017950699683
hsa-mir-1283-1	0.0389346952731239	-0.121930695273124	100302265	hsa-mir-1283-1	hsa-mir-1283-1	100302265	0.0389346952731239	-0.121930695273124	-0.160865390546248
AP3M2	0.119682492692852	0.271917507307148	10947	AP3M2	AP3M2	10947	0.119682492692852	0.271917507307148	0.152235014614295
DHFR	-0.270097121892385	-0.412792878107615	1719	DHFR	DHFR	1719	-0.270097121892385	-0.412792878107615	-0.14269575621523
CEP85L	-0.226115418403763	-0.0745595815962369	387119	CEP85L	CEP85L	387119	-0.226115418403763	-0.0745595815962369	0.151555836807526
EIF3C	-0.0183611655326992	-0.0622068344673008	8663	EIF3C	EIF3C	8663	-0.0183611655326992	-0.0622068344673008	-0.0438456689346017
TMEM189	-0.113311780447694	-0.122428219552306	387521	TMEM189	TMEM189	387521	-0.113311780447694	-0.122428219552306	-0.00911643910461242
HSPB9	-0.0377234354068849	-0.120124564593115	94086	HSPB9	HSPB9	94086	-0.0377234354068849	-0.120124564593115	-0.0824011291862303
SSMEM1	-0.0431193974968079	-0.0144616025031921	136263	SSMEM1	SSMEM1	136263	-0.0431193974968079	-0.0144616025031921	0.0286577949936158
hsa-mir-6130	-0.0775394443819026	-0.169102555618097	102466967	hsa-mir-6130	hsa-mir-6130	102466967	-0.0775394443819026	-0.169102555618097	-0.0915631112361948
FMR1	0.0199933107634898	-0.19164331076349	2332	FMR1	FMR1	2332	0.0199933107634898	-0.19164331076349	-0.21163662152698
MAGEH1	-0.0597906053034531	-0.276504394696547	28986	MAGEH1	MAGEH1	28986	-0.0597906053034531	-0.276504394696547	-0.216713789393094
PGRMC2	-0.016578529262877	-0.028598470737123	10424	PGRMC2	PGRMC2	10424	-0.016578529262877	-0.028598470737123	-0.0120199414742459
KRT6C	-0.00219298064356584	0.0248574306435658	286887	KRT6C	KRT6C	286887	-0.00219298064356584	0.0248574306435658	0.0270504112871317
