mirna	comparison	method	pvalue	expr_ctrl	expr_group	Fold_Change	fdr
hsa_miR_182_5p_MIMAT0000259	control vs group	t-test	0.88523013	6.551405416	6.516558827	-1.005347391	0.943889958
hsa_miR_183_5p_MIMAT0000261	control vs group	t-test	0.177683161	6.191835079	6.495692177	1.049073836	0.542239991
hsa_miR_185_5p_MIMAT0000455	control vs group	t-test	0.602839551	5.783961933	5.942019739	1.02732691	0.839859481
hsa_miR_186_5p_MIMAT0000456	control vs group	t-test	0.000335317	4.848762637	6.174717367	1.273462495	0.043923552
hsa_miR_188_5p_MIMAT0000457	control vs group	t-test	0.524103776	2.121431924	1.31341047	-1.615208628	0.760380069
hsa_miR_191_5p_MIMAT0000440	control vs group	t-test	0.882562627	8.384800374	8.409125764	1.002901129	0.943889958
hsa_miR_192_5p_MIMAT0000222	control vs group	t-test	0.897020201	3.459371282	3.683291497	1.064728587	0.950733986
hsa_miR_194_5p_MIMAT0000460	control vs group	t-test	0.272105705	0.533010695	2.057541787	3.860226085	0.567146847
hsa_miR_197_3p_MIMAT0000227	control vs group	t-test	0.955525724	8.207630179	8.224411679	1.002044622	0.972000306
hsa_miR_19a_3p_MIMAT0000073	control vs group	t-test	0.562149266	7.240671718	6.606272992	-1.096029747	0.79600336
hsa_miR_200a_3p_MIMAT0000682	control vs group	t-test	0.267720256	0.533010695	2.416374944	4.533445517	0.567146847
hsa_miR_200b_3p_MIMAT0000318	control vs group	t-test	0.322582461	5.92319363	6.296117032	1.062959853	0.58791813
hsa_miR_200c_3p_MIMAT0000617	control vs group	t-test	0.027794728	12.52938294	12.1398483	-1.032087274	0.351404777
hsa_miR_205_5p_MIMAT0000266	control vs group	t-test	0.414608444	11.39077488	11.30964799	-1.007173246	0.649430926
hsa_miR_20a_5pandhsa_miR_20b_5p_MIMAT0000075	control vs group	t-test	0.204547488	9.585581177	9.100349347	-1.053320132	0.567146847
hsa_miR_21_5p_MIMAT0000076	control vs group	t-test	0.322160558	11.67182111	11.50430319	-1.014561327	0.58791813
hsa_miR_210_MIMAT0000267	control vs group	t-test	0.045618597	0.533010695	3.070392198	5.760470153	0.408215
hsa_miR_22_3p_MIMAT0000077	control vs group	t-test	0.67802685	8.059750675	8.129690651	1.008677685	0.862730169
hsa_miR_221_3p_MIMAT0000278	control vs group	t-test	0.106571184	8.469119359	8.170863085	-1.03650242	0.451825156
hsa_miR_222_3p_MIMAT0000279	control vs group	t-test	0.721964966	8.241160418	8.219873738	-1.00258966	0.869304755
hsa_miR_23a_3p_MIMAT0000078	control vs group	t-test	0.016310024	11.27898971	11.10353626	-1.015801583	0.28868743
hsa_miR_23b_3p_MIMAT0000418	control vs group	t-test	0.105633944	8.213522181	8.03638354	-1.022042084	0.451825156
hsa_miR_24_3p_MIMAT0000080	control vs group	t-test	0.065376593	9.111169823	8.758161147	-1.040306255	0.451825156
hsa_miR_25_3p_MIMAT0000081	control vs group	t-test	0.866784582	8.76648112	8.743779279	-1.002596342	0.943889958
hsa_miR_2682_5p_MIMAT0013517	control vs group	t-test	0.136906315	4.678767748	2.673440266	-1.750092496	0.466008033
hsa_miR_26b_5p_MIMAT0000083	control vs group	t-test	0.341636874	7.369679349	7.035247407	-1.047536628	0.598710165
hsa_miR_27a_3p_MIMAT0000084	control vs group	t-test	0.151523911	5.400809681	5.760657463	1.066628488	0.471947438
hsa_miR_28_3p_MIMAT0004502	control vs group	t-test	0.35878603	5.632391932	5.975057095	1.060838302	0.606832653
hsa_miR_28_5p_MIMAT0000085	control vs group	t-test	0.001683845	5.600386366	6.351682238	1.134150722	0.099346859
hsa_miR_296_5p_MIMAT0000690	control vs group	t-test	0.09939812	2.521821083	5.336300102	2.116050237	0.451825156
hsa_miR_29a_3p_MIMAT0000086	control vs group	t-test	0.676384149	7.65447988	7.715455062	1.007965947	0.862730169
hsa_miR_29b_3p_MIMAT0000100	control vs group	t-test	0.328124256	12.03535996	11.678644	-1.030544296	0.58791813
hsa_miR_29c_3p_MIMAT0000681	control vs group	t-test	0.467811643	6.553963597	6.337051352	-1.034229207	0.703496922
hsa_miR_302d_3p_MIMAT0000718	control vs group	t-test	0.151983073	6.850277118	5.408404645	-1.266598483	0.471947438
hsa_miR_30a_5p_MIMAT0000087	control vs group	t-test	0.764424976	6.484757581	6.357036204	-1.02009134	0.885059184
hsa_miR_30c_5p_MIMAT0000244	control vs group	t-test	0.730416855	6.720051452	6.637907688	-1.012374948	0.873539076
hsa_miR_30d_5p_MIMAT0000245	control vs group	t-test	0.468997948	4.909004035	5.334957452	1.086769824	0.703496922
hsa_miR_30e_5p_MIMAT0000692	control vs group	t-test	0.212142354	6.209034508	6.394060136	1.02979942	0.567146847
hsa_miR_32_5p_MIMAT0000090	control vs group	t-test	0.272013089	9.028997889	8.545530661	-1.056575448	0.567146847
hsa_miR_320e_MIMAT0015072	control vs group	t-test	0.463631049	2.226174226	3.693721744	1.659224018	0.703496922
hsa_miR_324_5p_MIMAT0000761	control vs group	t-test	0.13999472	4.902797203	5.843029232	1.191774612	0.467529537
hsa_miR_331_3p_MIMAT0000760	control vs group	t-test	0.931092182	6.590993412	6.615771804	1.003759432	0.959968378
hsa_miR_338_3p_MIMAT0000763	control vs group	t-test	0.932850627	5.421711248	5.335296506	-1.016196802	0.959968378
hsa_miR_33a_5p_MIMAT0000091	control vs group	t-test	0.135978067	5.130575862	5.721179259	1.115114446	0.466008033
hsa_miR_340_5p_MIMAT0004692	control vs group	t-test	0.873522605	2.892647932	3.195550723	1.10471471	0.943889958
hsa_miR_342_3p_MIMAT0000753	control vs group	t-test	0.033401761	6.015403932	6.587077901	1.095035009	0.394140774
hsa_miR_34a_5p_MIMAT0000255	control vs group	t-test	0.303720819	8.18168071	7.974895716	-1.025929492	0.58791813
hsa_miR_361_3p_MIMAT0004682	control vs group	t-test	0.046121045	5.356691504	4.527062207	-1.183259973	0.408215
hsa_miR_361_5p_MIMAT0000703	control vs group	t-test	0.037181139	8.20609115	7.848581793	-1.045550823	0.408215
hsa_miR_362_3p_MIMAT0004683	control vs group	t-test	0.393098833	0.533010695	1.513335229	2.839221135	0.632142857
hsa_miR_362_5p_MIMAT0000705	control vs group	t-test	0.016294821	1.117636258	4.383728613	3.9223214	0.28868743
hsa_miR_365a_3p_MIMAT0000710	control vs group	t-test	0.458843585	8.103421787	8.233945127	1.016107188	0.703496922
hsa_miR_371a_3p_MIMAT0000723	control vs group	t-test	0.120067102	5.477929717	3.694242212	-1.482829063	0.452167595
hsa_miR_374a_5p_MIMAT0000727	control vs group	t-test	0.213822484	10.09216352	9.489625996	-1.063494339	0.567146847
hsa_miR_374b_5p_MIMAT0004955	control vs group	t-test	0.267958186	7.772466142	7.421176894	-1.047336056	0.567146847
hsa_miR_378a_3pandhsa_miR_378i_MIMAT0000732	control vs group	t-test	0.116912557	5.155574066	5.923029457	1.148859347	0.451825156
hsa_miR_378e_MIMAT0018927	control vs group	t-test	0.198490202	8.190596167	6.734544005	-1.216206496	0.567146847
hsa_miR_378g_MIMAT0018937	control vs group	t-test	0.356135923	0.533010695	1.648380071	3.092583483	0.606832653
hsa_miR_421_MIMAT0003339	control vs group	t-test	0.048432288	5.283999521	5.94641657	1.125362814	0.408215
hsa_miR_423_3p_MIMAT0001340	control vs group	t-test	0.620050762	6.419134738	6.587305046	1.026198283	0.839859481
hsa_miR_423_5p_MIMAT0004748	control vs group	t-test	0.964409553	6.440649922	6.467571265	1.004179911	0.975431377
hsa_miR_4286_MIMAT0016916	control vs group	t-test	0.079448295	3.103098085	3.974383132	1.280779087	0.451825156
hsa_miR_429_MIMAT0001536	control vs group	t-test	0.323737814	0.533010695	1.509119069	2.831311049	0.58791813
hsa_miR_4454_MIMAT0018976	control vs group	t-test	0.541116775	11.8958794	13.33254353	1.120769897	0.778680238
hsa_miR_450a_5p_MIMAT0001545	control vs group	t-test	0.801272131	5.835604824	5.906230301	1.012102512	0.920869952
hsa_miR_4516_MIMAT0019053	control vs group	t-test	0.328835564	8.475880339	7.618432573	-1.112549105	0.58791813
hsa_miR_4532_MIMAT0019071	control vs group	t-test	0.117423487	2.349824518	5.506336938	2.343297083	0.451825156
hsa_miR_454_3p_MIMAT0003885	control vs group	t-test	0.246773529	0.533010695	2.599925712	4.877811531	0.567146847
hsa_miR_484_MIMAT0002174	control vs group	t-test	0.128930388	0.533010695	2.375453623	4.456671595	0.465728135
hsa_miR_489_MIMAT0002805	control vs group	t-test	0.151232318	4.977345867	3.957905665	-1.257570616	0.471947438
hsa_miR_498_MIMAT0002824	control vs group	t-test	0.083106396	0.328500144	2.856167495	8.694570004	0.451825156
hsa_miR_500a_5pandhsa_miR_501_5p_MIMAT0004773	control vs group	t-test	0.325295796	0.533010695	1.349507686	2.531858552	0.58791813
hsa_miR_503_MIMAT0002874	control vs group	t-test	0.022541167	0.533010695	3.261718041	6.119423256	0.332482214
hsa_miR_512_3p_MIMAT0002823	control vs group	t-test	0.135277429	5.41721714	6.020728572	1.111406173	0.466008033
hsa_miR_512_5p_MIMAT0002822	control vs group	t-test	0.612566165	6.234872418	6.392253442	1.02524206	0.839859481
hsa_miR_515_3p_MIMAT0002827	control vs group	t-test	0.00695072	0.533010695	4.742174174	8.89695877	0.193487152
hsa_miR_515_5p_MIMAT0002826	control vs group	t-test	0.743001018	6.354061927	6.227742962	-1.020283266	0.876741202
hsa_miR_516b_5p_MIMAT0002859	control vs group	t-test	0.834105434	0.533010695	0.68090479	1.277469282	0.940360904
hsa_miR_517a_3p_MIMAT0002852	control vs group	t-test	0.102288468	0.533010695	2.821622535	5.29374469	0.451825156
hsa_miR_517c_3pandhsa_miR_519a_3p_MIMAT0002866	control vs group	t-test	0.225799477	6.477957717	6.918302948	1.067975935	0.567146847
hsa_miR_518b_MIMAT0002844	control vs group	t-test	0.007223678	0.533010695	4.299449455	8.066347445	0.193487152
hsa_miR_518c_3p_MIMAT0002848	control vs group	t-test	0.212071472	0.533010695	2.630255329	4.934713984	0.567146847
hsa_miR_518e_3p_MIMAT0002861	control vs group	t-test	0.244203941	0.533010695	2.583826318	4.847606893	0.567146847
hsa_miR_519b_3p_MIMAT0002837	control vs group	t-test	0.955121571	0.533010695	0.504631649	-1.05623715	0.972000306
hsa_miR_519c_3p_MIMAT0002832	control vs group	t-test	0.000496311	0.580841226	3.902312892	6.718381405	0.043923552
hsa_miR_519d_MIMAT0002853	control vs group	t-test	0.251934376	0.338023194	2.485926317	7.354306919	0.567146847
hsa_miR_520a_5p_MIMAT0002833	control vs group	t-test	0.124823198	4.972487829	5.932450596	1.193054825	0.460285542
hsa_miR_520b_MIMAT0002843	control vs group	t-test	0.738992049	0.533010695	0.825883809	1.549469489	0.876741202
hsa_miR_521_MIMAT0002854	control vs group	t-test	0.117374946	4.988365792	6.241702177	1.2512519	0.451825156
hsa_miR_522_3p_MIMAT0002868	control vs group	t-test	0.272358656	6.507752964	6.993439774	1.074632029	0.567146847
hsa_miR_524_5p_MIMAT0002849	control vs group	t-test	0.112353889	0.533010695	3.022892334	5.671353997	0.451825156
hsa_miR_525_5p_MIMAT0002838	control vs group	t-test	0.307634234	0.533010695	1.437813684	2.697532524	0.58791813
hsa_miR_526b_5p_MIMAT0002835	control vs group	t-test	0.399668219	0.533010695	1.134579999	2.128625205	0.632142857
hsa_miR_532_5p_MIMAT0002888	control vs group	t-test	0.811614195	0.533010695	0.709310124	1.330761523	0.920869952
hsa_miR_548aa_MIMAT0018447	control vs group	t-test	0.635590882	4.232104826	3.254501509	-1.300384963	0.84586155
hsa_miR_548ai_MIMAT0018989	control vs group	t-test	0.759574247	3.497104596	2.866071784	-1.220173415	0.885059184
hsa_miR_574_3p_MIMAT0003239	control vs group	t-test	0.063673019	1.938738494	4.873608031	2.513803716	0.451825156
hsa_miR_574_5p_MIMAT0004795	control vs group	t-test	0.50746361	2.768621787	3.442357197	1.243346857	0.748508824
hsa_miR_579_MIMAT0003244	control vs group	t-test	0.065841356	6.106448325	4.486910806	-1.360947117	0.451825156
hsa_miR_582_5p_MIMAT0003247	control vs group	t-test	0.011190046	0.533010695	4.097630049	7.687707002	0.247579777
hsa_miR_590_5p_MIMAT0003258	control vs group	t-test	0.219185159	4.427860317	5.383092882	1.215732317	0.567146847
hsa_miR_601_MIMAT0003269	control vs group	t-test	0.621590915	0.533010695	0.911775735	1.710614335	0.839859481
hsa_miR_630_MIMAT0003299	control vs group	t-test	0.086969485	6.395374111	5.205678937	-1.228537946	0.451825156
hsa_miR_631_MIMAT0003300	control vs group	t-test	0.146325538	5.441650909	3.514609691	-1.548294516	0.471947438
hsa_miR_652_3p_MIMAT0003322	control vs group	t-test	0.811614195	0.533010695	0.709310124	1.330761523	0.920869952
hsa_miR_660_5p_MIMAT0003338	control vs group	t-test	0.242555764	0.890853706	3.223494615	3.618433186	0.567146847
hsa_miR_664_3p_MIMAT0005949	control vs group	t-test	0.873666449	0.533010695	0.460446251	-1.157595905	0.943889958
hsa_miR_7_5p_MIMAT0000252	control vs group	t-test	0.235989894	0.533010695	3.398962439	6.376912271	0.567146847
hsa_miR_720_MIMAT0005954	control vs group	t-test	0.631400097	10.04610757	11.0319937	1.098136132	0.84586155
hsa_miR_769_5p_MIMAT0003886	control vs group	t-test	0.618713738	0.533010695	0.357642994	-1.490342894	0.839859481
hsa_miR_9_5p_MIMAT0000441	control vs group	t-test	0.307917626	8.355544227	7.84993351	-1.064409554	0.58791813
hsa_miR_92a_3p_MIMAT0000092	control vs group	t-test	0.649019661	7.958377151	8.064186529	1.013295346	0.850936889
hsa_miR_93_5p_MIMAT0000093	control vs group	t-test	0.341404727	9.484384967	9.282455641	-1.021753869	0.598710165
hsa_miR_98_MIMAT0000096	control vs group	t-test	0.512494105	7.76830522	7.921141544	1.019674346	0.749681459
hsa_miR_99a_5p_MIMAT0000097	control vs group	t-test	0.765051159	0.533010695	0.411786482	-1.29438609	0.885059184
hsa_miR_99b_5p_MIMAT0000689	control vs group	t-test	0.432768705	10.04543348	10.01056993	-1.003482674	0.671930357
hsa_miR_1234_MIMAT0005589	control vs group	MWW-test	0.4	4.025028794	4.505255801	1.119310204	0.632142857
hsa_miR_15a_5p_MIMAT0000068	control vs group	MWW-test	0.7	10.41196639	10.44337873	1.003016946	0.862730169
hsa_miR_18a_5p_MIMAT0000072	control vs group	MWW-test	0.657905019	0.584962501	5.228433921	8.93806682	0.856244033
hsa_miR_193b_3p_MIMAT0002819	control vs group	MWW-test	0.1	0.669026766	5.228433921	7.814984671	0.451825156
hsa_miR_19b_3p_MIMAT0000074	control vs group	MWW-test	0.1	9.781982561	9.468868374	-1.033067752	0.451825156
hsa_miR_203_MIMAT0000264	control vs group	MWW-test	0.4	4.671293372	5.316145742	1.138045787	0.632142857
hsa_miR_218_5p_MIMAT0000275	control vs group	MWW-test	0.1	4.025028794	5.096346199	1.266163911	0.451825156
hsa_miR_26a_5p_MIMAT0000082	control vs group	MWW-test	0.7	8.552630676	8.387715795	-1.019661477	0.862730169
hsa_miR_27b_3p_MIMAT0000419	control vs group	MWW-test	0.1	8.907431505	8.674545394	-1.026847068	0.451825156
hsa_miR_301a_3p_MIMAT0000688	control vs group	MWW-test	0.4	6.771753554	7.066304502	1.043496998	0.632142857
hsa_miR_30b_5p_MIMAT0000420	control vs group	MWW-test	0.1	9.298612498	9.129978434	-1.018470368	0.451825156
hsa_miR_31_5p_MIMAT0000089	control vs group	MWW-test	0.7	0.584962501	3.292781749	5.629047577	0.862730169
hsa_miR_3195_MIMAT0015079	control vs group	MWW-test	0.1	0.613531653	3.486714373	5.683022801	0.451825156
hsa_miR_363_3p_MIMAT0000707	control vs group	MWW-test	0.7	0.584962501	0.124328135	-4.704988947	0.862730169
hsa_miR_425_5p_MIMAT0003393	control vs group	MWW-test	0.7	0.584962501	4.788685711	8.18631229	0.862730169
hsa_miR_4488_MIMAT0019022	control vs group	MWW-test	0.2	0.613531653	3.545968369	5.779601348	0.567146847
hsa_miR_570_3p_MIMAT0003235	control vs group	MWW-test	1	0.613531653	0.86393845	1.408139981	1
hsa_miR_96_5p_MIMAT0000095	control vs group	MWW-test	0.4	6.167317781	6.191009849	1.003841551	0.632142857
