sgRNA	Gene	test1.D0	test1.T14	test1.D14	test3.D0	test3.T14	test3.D14
HGLibA_54414	WSB1	173	140	168	213	243	153
HGLibA_14900	ELF4	124	116	147	229	226	176
HGLibA_51768	TRPM6	403	365	397	307	550	290
HGLibA_45449	SLCO1B1	185	191	230	283	230	190
HGLibA_14840	EIF4G1	59	85	80	91	67	78
HGLibA_26727	LMTK2	219	192	195	177	190	216
HGLibA_34133	OR51T1	279	276	264	320	438	248
HGLibA_47830	SUPV3L1	277	369	306	316	406	275
HGLibA_15416	ERBB2IP	119	108	127	147	154	102
HGLibA_44622	SLC24A3	97	46	91	116	129	94
HGLibA_05966	C1QTNF9B-AS1	350	352	349	279	443	231
HGLibA_45026	SLC35G5	185	256	151	218	190	149
HGLibA_00286	ABHD8	409	284	333	339	541	286
HGLibA_41350	RLIM	12	14	2	0	22	2
HGLibA_37537	POLL	221	229	134	273	164	198
HGLibA_30972	NAA11	95	106	103	58	124	86
HGLibA_47785	SUMO4	179	214	159	191	276	147
HGLibA_38741	PRPF4B	122	160	108	94	98	127
HGLibA_37664	POMK	310	286	401	394	283	340
HGLibA_28247	MAPK1	233	287	255	305	507	233
HGLibA_07678	CCDC168	95	95	120	106	132	80
HGLibA_39785	RAB10	56	66	50	38	44	56
HGLibA_42482	RWDD2A	173	184	131	127	259	188
HGLibA_21245	HGS	253	235	252	186	399	250
HGLibA_49344	THEM5	27	37	43	62	44	46
HGLibA_17366	FGF11	117	104	61	80	51	46
HGLibA_15747	EXOC3L4	133	125	144	120	115	120
HGLibA_16314	FAM180B	148	131	61	142	67	113
HGLibA_27010	LOH12CR1	371	509	375	537	463	360
HGLibA_29209	MICALCL	233	255	204	314	429	251
HGLibA_26919	LOC286238	258	262	270	217	164	173
HGLibA_64509	NonTargetingControlGuideForHuman_0126	210	109	138	98	196	142
HGLibA_13695	DNMBP	33	19	24	13	59	38
HGLibA_07381	CAV3	350	326	347	359	479	336
HGLibA_48282	TAL2	52	71	30	56	53	73
HGLibA_16765	FAM84A	100	111	110	123	107	101
HGLibA_08692	CDH8	241	238	235	206	298	313
HGLibA_25717	KRTAP22-1	257	205	295	251	300	211
HGLibA_42796	SBF2	68	114	89	110	88	86
HGLibA_57279	hsa-mir-1205	160	109	136	203	123	85
HGLibA_33968	OR4D10	82	40	61	92	187	47
HGLibA_30815	MYO18B	214	212	167	176	239	135
HGLibA_32201	NMS	185	180	208	246	203	170
HGLibA_64232	hsa-mir-888	315	229	291	281	246	282
HGLibA_64852	NonTargetingControlGuideForHuman_0469	64	107	88	111	177	85
HGLibA_31218	NBN	47	54	73	86	59	40
HGLibA_61808	hsa-mir-532	143	92	59	61	162	88
HGLibA_39756	QSOX2	287	296	343	309	258	251
HGLibA_18287	FZD9	141	165	103	123	83	107
HGLibA_18733	GBP3	259	188	275	225	185	237
HGLibA_61692	hsa-mir-5193	153	113	150	87	150	69
HGLibA_00691	ACVR1C	110	119	140	126	191	173
HGLibA_10611	COL7A1	189	215	170	142	254	228
HGLibA_31920	NICN1	143	96	165	129	206	183
HGLibA_44569	SLC22A20	129	133	94	154	102	119
HGLibA_33361	OLFML2B	181	174	183	128	250	145
HGLibA_36288	PGRMC1	235	135	195	222	132	152
HGLibA_58319	hsa-mir-2355	113	94	105	127	162	119
HGLibA_06803	CA2	173	151	180	135	202	183
HGLibA_11263	CRYBB2	284	233	268	317	521	277
HGLibA_04869	BSN	186	160	140	206	196	110
HGLibA_53615	VEGFB	74	88	108	90	134	99
HGLibA_04178	BATF3	54	68	116	106	45	46
HGLibA_16895	FASN	151	143	111	127	81	76
HGLibA_05085	C10orf67	396	361	315	418	566	390
HGLibA_09295	CGA	382	354	346	323	349	284
HGLibA_10725	COPS6	207	304	305	334	440	171
HGLibA_01531	ALCAM	207	209	215	205	370	264
HGLibA_48805	TCHHL1	50	60	74	86	106	79
HGLibA_47906	SYAP1	119	152	106	71	69	66
HGLibA_61466	hsa-mir-503	128	103	137	160	203	101
HGLibA_10209	CMTM1	66	99	70	92	76	149
HGLibA_43061	SCRT2	99	83	81	67	32	42
HGLibA_39263	PTCD2	95	120	119	136	131	136
HGLibA_07597	CCDC134	203	229	236	207	258	148
HGLibA_45572	SMAD2	166	255	159	347	328	230
HGLibA_17262	FDX1L	152	108	57	124	71	54
HGLibA_46346	SPAG11A	642	745	701	628	848	599
HGLibA_39827	RAB19	72	64	67	25	36	16
HGLibA_03171	ARTN	125	96	96	94	166	78
HGLibA_19705	GP2	249	228	206	243	483	282
HGLibA_63932	hsa-mir-767	72	61	91	85	94	104
HGLibA_41292	RIN2	35	57	78	103	190	78
HGLibA_41850	RPIA	225	185	191	147	213	105
HGLibA_48143	TAB2	150	149	129	112	136	114
HGLibA_58640	hsa-mir-3146	58	85	112	63	77	86
HGLibA_10131	CLSPN	163	97	115	175	124	140
HGLibA_12313	DAOA	85	114	86	84	107	64
HGLibA_26705	LMO2	126	135	134	130	74	116
HGLibA_27732	LYPD6B	69	88	42	49	111	52
HGLibA_44390	SLC13A3	266	285	268	365	311	359
HGLibA_38613	PRM3	357	278	391	427	516	297
HGLibA_58009	hsa-mir-187	315	218	324	352	442	398
HGLibA_13570	DNAJC12	104	106	138	97	140	140
HGLibA_07000	CALCOCO2	168	155	100	131	137	95
HGLibA_55573	ZNF202	292	217	194	174	290	193
HGLibA_12338	DARC	152	119	119	111	85	58
HGLibA_17047	FBXO22	178	189	147	159	262	106
HGLibA_14944	ELMOD3	161	110	132	115	156	149
HGLibA_32900	NUBP1	175	198	172	303	204	154
HGLibA_62061	hsa-mir-548s	8	0	5	3	13	2
HGLibA_46852	SPRYD4	146	162	119	120	234	100
HGLibA_29015	METTL6	184	165	184	285	367	183
HGLibA_32785	NSUN3	139	117	121	131	139	104
HGLibA_05324	C14orf132	175	173	201	264	305	213
HGLibA_32193	NMRAL1	369	327	318	388	466	239
HGLibA_34287	OR5F1	400	400	385	351	589	340
HGLibA_08119	CCNL2	312	277	294	337	338	272
HGLibA_41438	RNASEL	87	122	89	52	79	135
HGLibA_43887	SH2D1B	129	182	178	160	122	184
HGLibA_13917	DPY30	172	192	206	256	268	255
HGLibA_11432	CSRP1	134	142	134	128	211	200
HGLibA_01726	ALS2CR12	52	51	47	41	54	44
HGLibA_11063	CRAMP1L	177	173	189	133	226	187
HGLibA_10038	CLINT1	221	285	288	473	467	352
HGLibA_20545	GTF2H1	104	131	98	176	139	127
HGLibA_26765	LOC100129520	122	87	113	48	96	52
HGLibA_17605	FLCN	110	107	142	109	119	71
HGLibA_59046	hsa-mir-3529	160	262	212	204	221	152
HGLibA_51362	TREML2	169	148	189	211	385	200
HGLibA_43370	SEMA6C	123	99	110	79	126	91
HGLibA_26774	LOC100130301	119	47	125	91	126	71
HGLibA_37290	PMAIP1	326	362	361	287	383	326
HGLibA_00877	ADAT1	125	158	183	124	115	88
HGLibA_01149	AGAP4	331	242	200	317	502	154
HGLibA_17138	FBXW11	147	172	222	173	215	215
HGLibA_21490	HIST1H4B	161	175	190	204	307	168
HGLibA_23031	IL18RAP	178	220	148	223	266	154
HGLibA_30941	MZT1	34	28	11	90	77	30
HGLibA_27467	LRRK2	306	255	353	285	280	260
HGLibA_23807	ITIH2	164	142	143	126	173	194
HGLibA_42827	SCAF4	270	215	169	194	162	158
HGLibA_12141	CYP2S1	58	98	60	66	105	101
HGLibA_20887	HAUS5	103	85	56	131	37	29
HGLibA_11807	CUX2	273	244	298	256	386	239
HGLibA_08653	CDH18	209	144	251	335	398	224
HGLibA_65058	NonTargetingControlGuideForHuman_0675	98	141	143	116	216	130
HGLibA_56413	ZNF623	181	171	204	200	196	129
HGLibA_48774	TCF21	108	76	90	61	123	61
HGLibA_21224	HFE	196	164	218	78	134	104
HGLibA_51159	TPP1	207	194	165	175	162	166
HGLibA_14699	EID2B	138	108	151	158	126	104
HGLibA_18030	FRMD8	148	121	142	222	177	172
HGLibA_48874	TCTN2	254	284	302	227	340	254
HGLibA_13036	DGAT2	246	151	236	245	231	216
HGLibA_47496	STK35	105	120	120	99	75	82
HGLibA_03056	ARMCX6	114	109	46	138	96	85
HGLibA_01127	AFP	314	286	246	363	288	251
HGLibA_43441	SEP4	306	202	228	267	281	201
HGLibA_09929	CLEC12A	185	217	265	168	128	168
HGLibA_44693	SLC25A28	121	126	131	191	27	130
HGLibA_20554	GTF2H2D	80	125	89	169	140	88
HGLibA_29720	MPG	159	153	131	90	205	126
HGLibA_24261	KCNJ14	158	230	141	199	201	185
HGLibA_60875	hsa-mir-4691	377	365	422	300	614	354
HGLibA_49440	TIAM1	239	229	221	144	217	152
HGLibA_44314	SLAMF6	106	28	51	70	65	89
HGLibA_31035	NACAD	94	109	102	107	174	93
HGLibA_32037	NKX2-3	230	285	373	354	329	227
HGLibA_36325	PHC3	154	125	151	138	216	124
HGLibA_29556	MMS22L	115	48	73	50	113	36
HGLibA_46132	SOCS4	100	119	148	104	107	107
HGLibA_39497	PTPRD	315	228	276	366	370	199
HGLibA_05881	C1orf63	109	98	85	99	196	99
HGLibA_32802	NT5C1A	190	182	186	143	192	104
HGLibA_49788	TMCO3	48	24	62	36	42	26
HGLibA_38212	PPP5C	143	166	128	96	236	120
HGLibA_32027	NKX1-2	56	41	78	44	95	90
HGLibA_32811	NT5C2	216	207	281	292	301	201
HGLibA_36619	PIK3AP1	118	144	113	108	82	124
HGLibA_52615	UBE2I	84	23	30	125	62	29
HGLibA_09501	CHMP7	195	157	131	176	238	154
HGLibA_28707	MDP1	45	55	30	36	9	54
HGLibA_24693	KIAA1109	76	70	68	109	224	98
HGLibA_46690	SPINK2	145	113	118	163	139	87
HGLibA_61306	hsa-mir-4800	530	566	531	500	561	374
HGLibA_09074	CENPN	170	177	169	88	185	160
HGLibA_13793	DOM3Z	298	189	183	216	184	158
HGLibA_34926	PABPC1L2A	680	562	634	761	522	468
HGLibA_56700	ZNF77	130	138	87	107	348	159
HGLibA_58771	hsa-mir-3174	179	167	157	129	123	106
HGLibA_57589	hsa-mir-1283-1	112	113	71	99	40	83
HGLibA_02331	AP3M2	159	190	236	166	263	197
HGLibA_13103	DHFR	103	35	32	46	17	19
HGLibA_09172	CEP85L	229	138	180	260	324	208
HGLibA_14769	EIF3C	366	334	400	418	437	301
HGLibA_60117	hsa-mir-4433	316	368	408	406	451	338
HGLibA_42472	RUVBL1	200	156	154	272	150	115
HGLibA_50132	TMEM189	588	537	546	639	824	540
HGLibA_22321	HSPB9	182	186	176	232	335	177
HGLibA_47142	SSMEM1	186	143	168	224	214	147
HGLibA_62672	hsa-mir-6130	235	175	145	155	211	153
HGLibA_39212	PSMG3	413	446	446	466	583	345
HGLibA_17719	FMR1	138	102	126	235	228	131
HGLibA_27989	MAGEH1	35	40	51	16	54	11
HGLibA_36291	PGRMC2	98	82	133	105	127	122
HGLibA_25519	KRT6C	206	207	195	263	305	258
HGLibA_47317	STAC3	149	150	108	127	151	94
HGLibA_05630	C19orf12	67	83	70	64	78	74
HGLibA_38424	PREB	197	155	172	348	203	147
HGLibA_38477	PRICKLE3	228	159	188	172	275	188
HGLibA_29254	MIER2	145	126	182	189	184	161
HGLibA_63995	hsa-mir-7851	29	8	9	48	79	8
HGLibA_54176	WDR75	53	67	48	63	50	35
HGLibA_55889	ZNF382	145	185	163	206	348	191
HGLibA_02290	AP1M1	159	160	123	100	116	88
HGLibA_43853	SGPP2	195	242	208	236	101	160
HGLibA_50944	TOLLIP	200	286	159	232	284	242
HGLibA_64087	hsa-mir-8062	101	96	97	159	105	71
HGLibA_28437	MATN4	334	301	289	317	239	357
HGLibA_49265	TGM5	295	262	267	238	303	193
HGLibA_26695	LMNB1	165	112	160	78	132	113
HGLibA_55004	ZCCHC10	70	63	87	142	29	44
HGLibA_38058	PPP1R17	271	152	180	196	247	157
HGLibA_16174	FAM154A	63	72	68	77	157	73
HGLibA_31779	NFATC2IP	180	230	249	278	224	125
HGLibA_26505	LILRA6	145	110	162	115	205	152
HGLibA_04509	BIN2	114	62	123	145	119	107
HGLibA_64982	NonTargetingControlGuideForHuman_0599	483	435	581	586	950	485
HGLibA_32736	NRXN2	99	56	83	115	125	70
HGLibA_01413	AKAP12	448	472	504	271	424	307
HGLibA_25287	KLRC2	169	130	158	162	276	164
HGLibA_28977	METTL21A	445	420	533	541	357	432
HGLibA_19145	GJA4	89	65	80	51	91	136
HGLibA_50684	TMUB2	145	77	124	211	198	85
HGLibA_12657	DDX17	143	109	73	114	142	65
HGLibA_08902	CDX4	140	143	150	170	134	105
HGLibA_53219	USP17L11	1783	1784	1850	2474	2318	1797
HGLibA_52188	TTLL10	116	88	104	98	161	46
HGLibA_00775	ADAM33	125	123	142	122	241	132
HGLibA_29135	MGAT2	145	117	114	88	212	169
HGLibA_04810	BRICD5	136	151	144	157	173	135
HGLibA_11645	CTNNA3	133	95	146	129	129	143
HGLibA_41668	RNF34	133	155	192	126	181	129
HGLibA_38133	PPP2CA	92	118	83	84	77	111
HGLibA_13569	DNAJC12	143	99	123	192	174	119
HGLibA_23388	INSL5	277	258	314	315	297	225
HGLibA_35379	PCCA	126	102	166	149	114	64
HGLibA_31186	NAT8B	162	129	113	152	194	98
HGLibA_14565	EFEMP2	253	196	193	202	255	177
HGLibA_04283	BCKDK	162	168	171	333	269	224
HGLibA_58158	hsa-mir-200c	214	180	178	159	293	150
HGLibA_35404	PCDH17	242	206	213	293	274	168
HGLibA_16027	FAM111B	211	160	200	254	254	128
HGLibA_58801	hsa-mir-3180-1	429	349	301	574	544	268
HGLibA_52354	TUT1	178	88	69	178	89	67
HGLibA_16119	FAM133B	106	72	58	80	91	59
HGLibA_43586	SERPINF1	211	181	214	277	323	170
HGLibA_11802	CUX1	314	361	294	313	437	258
HGLibA_55881	ZNF367	183	152	125	97	227	126
HGLibA_09369	CHCHD3	116	89	119	145	77	85
HGLibA_38454	PRG3	265	331	302	313	325	249
HGLibA_34272	OR5C1	327	383	308	405	354	243
HGLibA_27492	LRRTM3	128	74	111	128	91	139
HGLibA_26116	LCE1F	142	117	105	155	147	118
HGLibA_15343	EPN2	252	289	254	210	391	221
HGLibA_35364	PCBD2	198	208	194	237	201	165
HGLibA_18007	FRMD1	244	214	233	225	288	161
HGLibA_62196	hsa-mir-5589	85	130	95	95	79	60
HGLibA_13853	DPH7	142	210	124	198	156	132
HGLibA_08566	CDC42EP1	189	151	192	170	202	163
HGLibA_25282	KLRB1	143	150	155	147	282	87
HGLibA_04458	BFSP2	182	177	216	211	90	168
HGLibA_34783	OTX1	132	105	120	95	85	121
HGLibA_64758	NonTargetingControlGuideForHuman_0375	158	207	176	253	355	231
HGLibA_63165	hsa-mir-6752	20	45	64	36	38	30
HGLibA_48453	TAX1BP3	282	265	319	204	268	197
HGLibA_16238	FAM166B	260	311	289	239	239	193
HGLibA_14928	ELL3	93	84	101	96	110	91
HGLibA_24671	KIAA0930	141	120	133	79	225	103
HGLibA_49619	TLE6	154	187	201	167	164	272
HGLibA_48568	TBC1D8B	120	115	135	110	160	137
HGLibA_37045	PLD4	231	256	296	360	299	319
HGLibA_37415	PNPLA4	88	92	122	79	162	50
HGLibA_64372	hsa-mir-98	59	108	132	108	80	120
HGLibA_28505	MBLAC2	217	243	293	208	188	198
HGLibA_64358	hsa-mir-943	212	297	298	238	397	206
HGLibA_35219	PARP12	192	162	189	191	286	177
HGLibA_19979	GPR179	153	95	120	121	133	84
HGLibA_04970	BTN3A2	138	164	150	110	162	95
HGLibA_18561	GALNT4	169	178	154	276	218	240
HGLibA_51597	TRIM7	67	87	81	78	67	46
HGLibA_17679	FLVCR2	155	121	174	208	429	168
HGLibA_49554	TINF2	266	328	229	224	177	89
HGLibA_54451	WWP1	315	328	310	409	328	162
HGLibA_10057	CLK2	110	145	123	75	107	81
HGLibA_18789	GCK	228	180	207	165	277	121
HGLibA_35207	PARN	162	272	169	125	308	157
HGLibA_54631	YAP1	299	259	368	282	302	336
HGLibA_14053	DTD1	72	64	77	101	85	69
HGLibA_34989	PAFAH1B1	216	229	202	231	291	191
HGLibA_10718	COPS4	247	206	243	269	335	159
HGLibA_23008	IL17RB	123	105	149	90	199	95
HGLibA_64096	hsa-mir-8064	62	60	35	32	39	20
HGLibA_12589	DDAH1	276	313	339	341	352	282
HGLibA_30543	MUC22	198	163	143	192	267	191
HGLibA_14124	DUS4L	115	136	103	102	86	137
HGLibA_21650	HLCS	268	289	280	327	297	340
HGLibA_58040	hsa-mir-190b	156	129	146	118	178	119
HGLibA_22932	IKZF2	116	131	139	166	124	139
HGLibA_18294	G0S2	288	201	237	250	286	209
HGLibA_13794	DOM3Z	378	486	461	518	430	419
HGLibA_18527	GALNT1	130	103	104	120	175	143
HGLibA_44922	SLC30A9	138	164	117	172	190	121
HGLibA_61888	hsa-mir-548aj-1	62	60	36	35	46	38
HGLibA_37962	PPM1A	154	175	117	98	151	84
HGLibA_36361	PHF2	45	65	86	48	64	58
HGLibA_29281	MINPP1	227	213	196	137	321	122
HGLibA_18135	FTSJ1	317	224	262	297	208	199
HGLibA_42277	RRP36	746	636	465	673	818	409
HGLibA_24451	KCTD21	168	162	132	142	205	165
HGLibA_30712	MYH13	89	56	74	41	44	41
HGLibA_44960	SLC35A5	224	166	216	275	323	180
HGLibA_05642	C19orf25	258	247	333	321	420	325
HGLibA_46233	SOX12	204	201	153	230	284	184
HGLibA_63309	hsa-mir-6783	101	76	106	120	94	69
HGLibA_63980	hsa-mir-7848	176	147	188	127	244	186
HGLibA_30814	MYO18B	169	116	123	256	277	146
HGLibA_17272	FEM1A	205	182	154	217	313	182
HGLibA_31192	NAT9	201	201	247	300	313	133
HGLibA_16669	FAM65A	60	28	38	77	87	27
HGLibA_51353	TREM1	245	293	226	304	270	209
HGLibA_00231	ABHD1	65	51	66	60	6	78
HGLibA_10527	COL19A1	224	181	165	255	224	155
HGLibA_47082	SRSF5	232	237	260	247	219	161
HGLibA_23361	INPP5K	218	186	210	191	164	208
HGLibA_06827	CA9	178	298	180	227	220	175
HGLibA_16308	FAM179B	74	55	43	108	172	67
HGLibA_53651	VIL1	314	256	311	307	349	251
HGLibA_35015	PAGE5	163	151	166	240	200	157
HGLibA_09528	CHPT1	93	56	86	101	95	100
HGLibA_52226	TTPAL	225	178	199	166	386	170
HGLibA_36175	PFN1	249	271	326	344	345	217
HGLibA_61713	hsa-mir-519a-2	311	249	208	352	308	329
HGLibA_27344	LRRC3B	155	124	126	150	205	130
HGLibA_36161	PFKFB4	171	183	160	112	277	165
HGLibA_01683	ALOX15	122	136	166	118	99	105
HGLibA_63018	hsa-mir-6715a	801	630	742	800	1013	689
HGLibA_60254	hsa-mir-4462	144	117	117	95	126	96
HGLibA_35187	PARD6B	76	52	65	65	88	46
HGLibA_54741	YWHAE	185	127	153	194	168	179
HGLibA_55211	ZFP36L2	263	316	277	264	345	182
HGLibA_22470	IAPP	138	159	169	61	61	118
HGLibA_34894	P2RY8_X	505	386	418	333	299	288
HGLibA_44731	SLC25A4	126	140	187	211	226	131
HGLibA_64103	hsa-mir-8066	219	214	243	204	251	134
HGLibA_39196	PSME3	143	131	181	149	318	166
HGLibA_60332	hsa-mir-4479	103	111	155	47	136	106
HGLibA_33787	OR2F1	152	185	157	146	288	162
HGLibA_03262	ASCC3	201	223	230	232	272	152
HGLibA_12380	DBF4B	141	110	210	90	147	145
HGLibA_11490	CSTF2T	185	203	209	175	324	199
HGLibA_04976	BTNL3	212	196	259	118	255	103
HGLibA_38731	PRPF4	102	144	177	88	130	86
HGLibA_48225	TAF1L	300	317	310	364	337	271
HGLibA_29782	MPV17	74	92	72	129	175	71
HGLibA_19897	GPR137	116	127	163	133	89	111
HGLibA_26469	LHX9	162	135	159	184	184	229
HGLibA_18096	FSIP2	45	82	62	53	94	48
HGLibA_04994	BUB3	136	146	142	139	141	105
HGLibA_27534	LSM14B	191	165	258	245	205	127
HGLibA_40762	REC8	225	121	125	139	191	160
HGLibA_37444	POC1B	344	263	311	284	366	269
HGLibA_23185	IL6R	251	191	170	151	286	138
HGLibA_56711	ZNF772	227	227	193	173	187	198
HGLibA_34046	OR4N2	200	170	174	179	359	232
HGLibA_39917	RAB3D	130	76	93	147	180	51
HGLibA_48733	TCEB1	77	91	103	52	60	34
HGLibA_29694	MOV10	49	94	94	101	93	59
HGLibA_10188	CMC2	220	168	215	275	329	152
HGLibA_54388	WNT8A	361	447	386	366	557	388
HGLibA_27739	LYPLA2	167	169	186	161	196	199
HGLibA_09025	CELSR2	90	112	78	96	131	103
HGLibA_55915	ZNF396	117	118	141	139	120	132
HGLibA_35516	PCDHGA1	2183	2066	2005	2612	2646	1825
HGLibA_18583	GALP	194	182	174	180	177	163
HGLibA_56537	ZNF684	317	333	287	254	587	235
HGLibA_40446	RBBP9	195	213	191	159	241	184
HGLibA_32990	NUDT8	59	49	72	101	200	62
HGLibA_22329	HSPBP1	95	61	76	90	85	96
HGLibA_09151	CEP63	76	187	99	93	123	80
HGLibA_22736	IFRD1	38	30	41	10	31	18
HGLibA_10687	COMT	158	103	157	124	137	190
HGLibA_15324	EPHX1	160	93	101	107	125	111
HGLibA_36609	PIH1D1	117	94	110	83	97	81
HGLibA_33986	OR4E2	178	195	229	267	210	170
HGLibA_30255	MST1L	272	268	309	283	164	273
HGLibA_59925	hsa-mir-4303	139	85	91	96	108	70
HGLibA_09335	CHAC1	84	65	33	79	169	38
HGLibA_08341	CD300LF	203	135	157	151	203	120
HGLibA_09228	CES4A	398	386	383	480	566	357
HGLibA_30865	MYO7B	60	49	27	106	29	40
HGLibA_17933	FOXP2	155	114	168	153	307	139
HGLibA_35675	PCSK4	278	228	252	352	313	255
HGLibA_05698	C19orf70	33	69	48	79	27	35
HGLibA_47813	SUPT3H	125	134	102	56	102	84
HGLibA_36122	PEX6	61	68	47	44	20	42
HGLibA_29578	MNX1	81	72	73	93	60	54
HGLibA_51355	TREM1	134	125	181	129	125	79
HGLibA_30265	MSTN	187	204	179	241	224	169
HGLibA_28604	MCM2	185	183	186	206	440	157
HGLibA_60592	hsa-mir-4533	42	36	81	66	40	22
HGLibA_40366	RASL11A	62	54	63	115	30	36
HGLibA_38573	PRKD3	183	287	200	182	342	228
HGLibA_13877	DPP7	122	143	182	186	187	130
HGLibA_49052	TEX11	184	174	121	138	192	155
HGLibA_58287	hsa-mir-22	245	202	229	356	320	191
HGLibA_63055	hsa-mir-6723	125	89	169	103	89	96
HGLibA_41726	RNPEP	134	114	137	129	115	99
HGLibA_41164	RHO	215	152	160	203	236	118
HGLibA_00317	ABO	53	50	66	43	115	84
HGLibA_62703	hsa-mir-6165	426	366	301	381	418	205
HGLibA_33035	NUP205	96	27	18	79	14	14
HGLibA_16916	FAT2	102	68	136	51	138	59
HGLibA_33151	NXPE1	98	98	99	52	168	127
HGLibA_03531	ATN1	67	52	42	58	24	26
HGLibA_00663	ACTR3B	269	239	280	235	211	253
HGLibA_48655	TBX2	208	171	211	184	239	149
HGLibA_50967	TOMM40	140	91	94	99	183	79
HGLibA_31346	NCOA5	203	204	230	272	296	167
HGLibA_53600	VDAC1	149	129	176	103	122	171
HGLibA_40965	RFX2	193	167	156	123	152	155
HGLibA_15090	EMR3	300	358	410	515	369	373
HGLibA_57920	hsa-mir-1538	91	88	76	51	29	76
HGLibA_26940	LOC402160	52	51	78	139	26	62
HGLibA_35423	PCDHA1	1124	1385	1349	1220	1185	950
HGLibA_21069	HEATR2	205	172	213	225	354	170
HGLibA_20299	GRIN2A	108	109	116	82	132	105
HGLibA_17793	FOPNL	231	199	255	237	121	205
HGLibA_09345	CHADL	115	123	140	135	103	59
HGLibA_39992	RAB9A	93	38	72	105	95	47
HGLibA_51103	TPBGL	259	201	308	270	205	238
HGLibA_54239	WEE1	240	197	217	165	182	193
HGLibA_36478	PHYHIPL	224	263	242	228	276	163
HGLibA_43520	SERPINA4	196	141	138	127	156	174
HGLibA_36024	PEF1	214	229	325	180	360	227
HGLibA_41504	RNF130	153	182	128	106	144	170
HGLibA_20030	GPR35	186	145	136	143	183	95
HGLibA_41479	RNF114	172	179	117	121	148	125
HGLibA_61970	hsa-mir-548e	78	27	48	73	42	52
HGLibA_26122	LCE2B	118	116	175	79	173	146
HGLibA_14778	EIF3E	221	138	121	223	71	98
HGLibA_33548	OR10T2	140	143	88	113	178	114
HGLibA_36741	PITPNA	80	124	166	190	139	106
HGLibA_09716	CINP	145	160	138	176	133	84
HGLibA_29783	MPV17	172	198	200	229	354	256
HGLibA_62440	hsa-mir-585	151	161	205	174	228	146
HGLibA_22582	IER5	40	45	46	68	97	47
HGLibA_17893	FOXK1	141	129	154	163	206	171
HGLibA_23676	ISM1	38	62	59	55	15	55
HGLibA_15430	ERCC1	163	219	222	282	210	273
HGLibA_34554	OR8S1	261	196	261	227	239	185
HGLibA_48172	TACR1	8	16	14	6	0	1
HGLibA_45332	SLC6A5	233	193	240	166	191	225
HGLibA_62873	hsa-mir-6506	288	237	233	247	243	201
HGLibA_45231	SLC4A9	214	228	252	204	103	101
HGLibA_04061	BACE2	234	202	185	238	343	284
HGLibA_43263	SEC63	249	313	352	299	221	242
HGLibA_34718	OSTN	157	150	191	231	207	144
HGLibA_08567	CDC42EP1	103	77	121	76	149	83
HGLibA_64785	NonTargetingControlGuideForHuman_0402	117	119	162	128	190	145
HGLibA_62712	hsa-mir-618	30	67	70	55	12	50
HGLibA_32111	NLRP14	259	214	274	269	285	259
HGLibA_03552	ATP10D	146	120	159	173	149	164
HGLibA_46860	SPSB1	184	94	135	153	235	140
HGLibA_46518	SPATA5L1	186	203	147	285	264	237
HGLibA_55091	ZDHHC18	187	207	169	226	267	223
HGLibA_17776	FOCAD	98	79	65	64	104	43
HGLibA_40615	RBMY1B	617	699	748	731	754	492
HGLibA_06457	C6orf165	94	60	66	39	84	46
