id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
SEP12	3	0.00076951	0.00098425	0.273948	65	2	-1.0671	0.11887	0.14247	0.894252	3413	1	0.31504
TBC1D14	3	0.00077851	0.00098425	0.273948	66	2	-0.72893	0.9629	0.96679	1.0	20474	0	0
RAB1B	3	0.00077857	0.00098425	0.273948	67	1	-0.64607	0.041123	0.053422	0.736447	1576	1	0.89195
RAE1	3	0.00079059	0.00098425	0.273948	68	2	-0.78382	0.9211	0.92523	1.0	19551	0	0
hsa-mir-611	4	0.00079104	0.00092163	0.273948	69	2	-2.038	0.96204	0.96269	1.0	20454	0	0
ZBTB5	3	0.00080429	0.0010112	0.273948	70	2	-0.68496	0.92995	0.93246	1.0	19731	0	0
RNF144B	3	0.00082574	0.0010112	0.273948	71	1	-1.6045	0.79337	0.79011	1.0	16766	0	0
BPIFB4	3	0.00083003	0.0010112	0.273948	72	3	-0.45428	0.99917	0.99916	1.0	21298	0	0
SLC35E3	3	0.00084218	0.0010112	0.273948	73	3	-0.61046	0.99916	0.99916	1.0	21297	0	0
MEF2B	3	0.00084597	0.0010112	0.273948	74	3	-0.44445	0.99915	0.99916	1.0	21296	0	0
hsa-mir-1263	4	0.00084929	0.0010661	0.281635	75	1	-1.1255	0.80687	0.78297	1.0	17054	0	0
FAM122A	3	0.00086297	0.0010117	0.273948	76	3	-0.64361	0.99914	0.99916	1.0	21295	0	0
FBXO9	3	0.00086817	0.0010117	0.273948	77	2	-0.83163	0.085	0.11681	0.871657	2854	1	0.45763
COA6	3	0.00090646	0.0010117	0.273948	78	3	-0.49519	0.99909	0.99916	1.0	21294	0	0
YBX1	3	0.00092008	0.0010661	0.281635	79	1	-1.2974	0.47828	0.44366	0.932547	10088	0	0
ZNF33A	3	0.00097774	0.0011474	0.296742	80	2	-0.62531	0.98973	0.99115	1.0	21049	0	0
hsa-mir-4632	4	0.0010124	0.0012425	0.305862	81	3	-0.80601	0.69081	0.6397	0.965284	14609	0	0
NUS1	3	0.0010144	0.0011776	0.296742	82	1	-3.5113	0.5412	0.50749	0.945641	11436	0	0
PIN1	3	0.0010289	0.001178	0.296742	83	2	-0.97714	0.1565	0.18308	0.894252	4028	1	0.38121
REM1	3	0.0010358	0.001178	0.296742	84	2	-0.62541	0.84599	0.84095	1.0	17901	0	0
KIF5A	3	0.0010616	0.0012416	0.305862	85	1	-0.94633	0.84655	0.84095	1.0	17914	0	0
MAD2L1BP	3	0.0011559	0.0013686	0.308146	86	1	-0.84885	0.18939	0.19802	0.894252	4581	1	0.58416
ZMAT2	3	0.0011569	0.0013686	0.308146	87	2	-0.97744	0.46202	0.41931	0.932547	9751	0	0
RBM18	3	0.0011878	0.0014276	0.308146	88	3	-1.017	0.99881	0.99888	1.0	21293	0	0
ATG16L2	3	0.0012031	0.0014911	0.308146	89	1	-1.0475	0.61808	0.58483	0.952723	13060	0	0
FRMD1	3	0.0012199	0.0014911	0.308146	90	2	-0.58876	0.85563	0.85456	1.0	18116	0	0
CFP	3	0.0012331	0.0014911	0.308146	91	2	-0.89366	0.39329	0.34935	0.91074	8289	1	0.32392
RUNX2	3	0.0012443	0.0014916	0.308146	92	3	-0.50869	0.99876	0.99882	1.0	21292	0	0
PLRG1	3	0.0012502	0.0014916	0.308146	93	1	-0.77671	0.17797	0.1959	0.894252	4379	1	0.50843
MED9	3	0.0012679	0.00153	0.308146	94	3	-0.67797	0.99873	0.99878	1.0	21291	0	0
TRMT5	3	0.0012974	0.00153	0.308146	95	1	-1.0696	0.17581	0.19375	0.894252	4340	1	0.6214
LRRC48	3	0.0012981	0.00153	0.308146	96	2	-0.98965	0.99146	0.99235	1.0	21095	0	0
DHRS13	3	0.0013302	0.0015304	0.308146	97	3	-0.33403	0.99867	0.99878	1.0	21290	0	0
SLC2A4	3	0.0013469	0.0015304	0.308146	98	2	-0.77957	0.84142	0.83922	1.0	17805	0	0
TNMD	3	0.0013727	0.0015642	0.308146	99	2	-0.64084	0.95111	0.9543	1.0	20205	0	0
NDUFS5	3	0.0013786	0.0015642	0.308146	100	2	-0.78865	0.9482	0.95195	1.0	20155	0	0
NUDT18	3	0.0013917	0.0015642	0.308146	101	1	-1.0717	0.17415	0.19375	0.894252	4313	1	0.36006
PCBP2	3	0.001394	0.0015642	0.308146	102	3	-0.43299	0.99861	0.99875	1.0	21288	0	0
ZNF729	3	0.0014047	0.0015642	0.308146	103	2	-1.1439	0.98377	0.98517	1.0	20929	0	0
NDUFS8	3	0.0014219	0.0015647	0.308146	104	3	-0.71587	0.99858	0.99875	1.0	21287	0	0
TAAR6	3	0.0014339	0.0015647	0.308146	105	3	-0.38909	0.99857	0.99875	1.0	21286	0	0
GTPBP6_X	3	0.0014388	0.0015647	0.308146	106	1	-1.29	0.66332	0.61878	0.95658	14053	0	0
NonTargetingControlGuideForHuman_0074	1	0.0014395	2.2852e-07	0.001238	107	1	-0.57833	0.99856	1.0	1.0	21285	0	0
SPATA6	3	0.0014534	0.0015971	0.309008	108	2	-0.68182	0.59331	0.55431	0.952723	12520	0	0
PRKRA	2	0.0014646	0.00074156	0.273948	109	2	-0.75879	0.99854	0.99926	1.0	21284	0	0
IMPG1	3	0.0014801	0.0015976	0.309008	110	2	-0.60814	0.59512	0.55431	0.952723	12564	0	0
KIAA0146	3	0.0014837	0.0016392	0.314247	111	3	-0.35086	0.99852	0.99867	1.0	21283	0	0
CRCP	3	0.0015092	0.0016726	0.315153	112	2	-0.67844	0.99011	0.99115	1.0	21058	0	0
ZEB1	3	0.0015171	0.001673	0.315153	113	3	-0.38515	0.99848	0.99864	1.0	21282	0	0
NARG2	3	0.0015803	0.0018129	0.3161	114	1	-0.64595	0.62325	0.58647	0.952723	13171	0	0
CNOT1	3	0.0016217	0.0018727	0.3161	115	2	-0.53362	0.77364	0.7592	1.0	16345	0	0
MRPL15	3	0.0016303	0.0018727	0.3161	116	2	-0.94445	0.98793	0.98936	1.0	21011	0	0
ARFRP1	3	0.0016564	0.0019349	0.3161	117	2	-0.86086	0.99687	0.99666	1.0	21240	0	0
ANKRD17	3	0.0016746	0.0019349	0.3161	118	1	-0.78644	0.99057	0.99189	1.0	21071	0	0
CCDC85A	3	0.0017217	0.0019349	0.3161	119	2	-0.85163	0.78554	0.77609	1.0	16596	0	0
WNT2	3	0.0017248	0.0019349	0.3161	120	2	-0.50354	0.96201	0.96649	1.0	20453	0	0
HMCN1	3	0.0017449	0.0019349	0.3161	121	2	-1.0133	0.38949	0.33877	0.901558	8218	1	0.34557
XAGE1A	3	0.0017539	0.0019349	0.3161	122	2	-0.26258	0.83312	0.83479	1.0	17620	0	0
NCOA4	3	0.0017689	0.0019349	0.3161	123	1	-0.88022	0.00087291	0.0012886	0.365516	76	1	1.5725
DTX4	3	0.0017968	0.0019354	0.3161	124	2	-0.60314	0.82924	0.82937	1.0	17532	0	0
DCUN1D2	3	0.001816	0.0019354	0.3161	125	1	-0.72522	0.91648	0.92088	1.0	19446	0	0
NonTargetingControlGuideForHuman_0911	1	0.0018486	2.2852e-07	0.001238	126	1	-0.93758	0.99815	1.0	1.0	21276	0	0
UROD	3	0.0018632	0.0019354	0.3161	127	1	-0.93055	0.97513	0.97661	1.0	20716	0	0
ATRX	3	0.0018934	0.0019354	0.3161	128	2	-0.82089	0.23693	0.2299	0.894252	5393	1	0.27098
FOXP3	3	0.0019103	0.0019948	0.3161	129	1	-0.58883	0.98405	0.98568	1.0	20939	0	0
SOAT2	3	0.0019574	0.0020716	0.3161	130	1	-1.7818	0.86064	0.85944	1.0	18236	0	0
BCL2A1	3	0.0020046	0.0020716	0.3161	131	2	-0.88697	0.66316	0.61878	0.95658	14051	0	0
DAPL1	3	0.0020517	0.0020716	0.3161	132	1	-0.77797	0.8139	0.81141	1.0	17200	0	0
ACTA2	3	0.0020942	0.0020716	0.3161	133	2	-0.61699	0.99433	0.99482	1.0	21163	0	0
OR6C76	3	0.0020988	0.0020716	0.3161	134	2	-0.67334	0.25515	0.23843	0.894252	5723	1	0.79784
USP17L13	2	0.002101	0.0014527	0.308146	135	2	-0.63444	0.9979	0.99855	1.0	21267	0	0
CYCS	3	0.0021237	0.0020716	0.3161	136	2	-0.79383	0.94577	0.94989	1.0	20086	0	0
GLG1	3	0.002146	0.0020716	0.3161	137	1	-1.3149	0.16351	0.18737	0.894252	4138	1	0.55518
ATE1	3	0.0021931	0.002072	0.3161	138	1	-1.64	0.85967	0.85944	1.0	18209	0	0
C5orf28	3	0.0022402	0.002072	0.3161	139	1	-2.1885	0.9365	0.93777	1.0	19887	0	0
LOC100132247	3	0.0022874	0.002072	0.3161	140	1	-0.28391	0.67526	0.63424	0.962771	14292	0	0
KATNAL1	3	0.0023345	0.002072	0.3161	141	1	-1.0674	0.75519	0.74042	1.0	15948	0	0
OR6C75	3	0.0024287	0.0021538	0.319646	142	1	-1.0931	0.3294	0.29622	0.894252	7074	1	0.2112
PKIG	3	0.0024641	0.0021538	0.319646	143	2	-0.86019	0.99231	0.99321	1.0	21114	0	0
MOB1A	3	0.0024758	0.0021538	0.319646	144	1	-1.5412	0.26222	0.24701	0.894252	5852	1	0.53222
DRD2	3	0.0024854	0.0021543	0.319646	145	2	-0.83948	0.96659	0.96948	1.0	20552	0	0
PRR20A	3	0.002566	0.0022462	0.320186	146	2	-0.25851	0.97479	0.97661	1.0	20710	0	0
RUFY3	3	0.0026094	0.0022462	0.320186	147	2	-0.61353	0.7372	0.72171	1.0	15577	0	0
hsa-mir-100	4	0.0026146	0.0035364	0.347174	148	3	-0.70469	0.76965	0.72798	1.0	16258	0	0
ZNF790	3	0.0026643	0.0022466	0.320186	149	1	-1.1199	0.28121	0.262	0.894252	6199	1	0.25003
NFKBID	3	0.0027113	0.0022466	0.320186	150	2	-0.5189	0.94628	0.95033	1.0	20106	0	0
PZP	3	0.0027114	0.0022466	0.320186	151	1	-0.93356	0.40625	0.36865	0.924439	8566	1	0.25094
ILK	3	0.0027585	0.0022466	0.320186	152	1	-1.0412	0.49671	0.45166	0.932547	10477	0	0
KANSL1	3	0.0028057	0.0024422	0.341393	153	1	-1.0094	0.73633	0.72047	1.0	15558	0	0
TRAPPC11	2	0.0028142	0.0018312	0.3161	154	2	-1.7949	0.99715	0.99809	1.0	21248	0	0
UBLCP1	3	0.0028528	0.0024422	0.341393	155	1	-0.89311	0.56262	0.5258	0.945641	11887	0	0
TBC1D13	3	0.0028999	0.0024427	0.341393	156	1	-1.909	0.74622	0.73177	1.0	15765	0	0
MCM3	3	0.002947	0.0025496	0.347174	157	1	-0.7642	0.81007	0.80246	1.0	17112	0	0
ERCC3	3	0.0029941	0.0026561	0.347174	158	1	-0.81996	0.96982	0.97206	1.0	20622	0	0
TMEM258	3	0.0030412	0.0027644	0.347174	159	2	-1.8163	0.99779	0.99791	1.0	21263	0	0
UBQLN4	3	0.0030786	0.0028938	0.347174	160	2	-0.56839	0.60582	0.56808	0.952723	12805	0	0
TYROBP	3	0.0030883	0.0028938	0.347174	161	1	-0.69664	0.89265	0.89692	1.0	18940	0	0
FAM9A	3	0.0031619	0.0028942	0.347174	162	2	-1.3245	0.24306	0.23201	0.894252	5510	1	0.41507
hsa-mir-508	4	0.0031742	0.0038175	0.347174	163	1	-0.60472	0.85664	0.8454	1.0	18139	0	0
PSMD14	3	0.0032282	0.0030218	0.347174	164	2	-0.82071	0.99081	0.99189	1.0	21080	0	0
FNBP1	3	0.0032296	0.0030218	0.347174	165	1	-0.96892	0.72465	0.70757	0.998736	15312	0	0
RNF125	3	0.0032403	0.0030222	0.347174	166	2	-0.6234	0.80901	0.80245	1.0	17097	0	0
COQ6	3	0.0032525	0.0030222	0.347174	167	2	-0.57486	0.7616	0.74411	1.0	16087	0	0
SLC25A1	3	0.0033227	0.0031433	0.347174	168	2	-0.45697	0.68843	0.64769	0.966447	14553	0	0
ERV3-1	3	0.0033238	0.0031433	0.347174	169	1	-1.014	0.36422	0.32178	0.901558	7716	1	0.2576
ZNF43	3	0.0033709	0.0031433	0.347174	170	2	-1.0372	0.96088	0.96522	1.0	20426	0	0
PSMA7	3	0.003418	0.0031433	0.347174	171	1	-0.72436	0.85542	0.85456	1.0	18114	0	0
POLR2H	3	0.0034654	0.0031438	0.347174	172	2	-0.84421	0.77532	0.76034	1.0	16376	0	0
JMJD6	3	0.0035121	0.0031438	0.347174	173	1	-0.85035	0.99383	0.99414	1.0	21153	0	0
KRTAP3-1	3	0.0035592	0.0031438	0.347174	174	2	-0.82768	0.65778	0.6156	0.95658	13948	0	0
PGLYRP4	3	0.0036534	0.0032658	0.347174	175	1	-0.89694	0.21985	0.2172	0.894252	5102	1	0.47059
FEZ1	3	0.0037011	0.0032658	0.347174	176	2	-0.75975	0.48846	0.44766	0.932547	10294	0	0
EIF4A3	2	0.0037252	0.0029898	0.347174	177	1	-0.83579	0.28463	0.25014	0.894252	6261	1	0.48916
REEP3	3	0.0037271	0.0032658	0.347174	178	2	-0.51399	0.92731	0.92941	1.0	19691	0	0
DDIT4L	3	0.0037476	0.0032658	0.347174	179	1	-1.6621	0.026686	0.039722	0.736447	1074	1	1.3262
PROCA1	3	0.0037759	0.0032658	0.347174	180	2	-0.57666	0.98997	0.99115	1.0	21056	0	0
ZNF107	3	0.0037857	0.0032663	0.347174	181	2	-1.0604	0.44218	0.40252	0.924439	9337	0	0
SHARPIN	3	0.0037956	0.0032663	0.347174	182	2	-0.72071	0.97535	0.97736	1.0	20723	0	0
NEGR1	3	0.0038218	0.0032663	0.347174	183	2	-0.50514	0.77827	0.76485	1.0	16428	0	0
ABHD17B	3	0.0038317	0.0032663	0.347174	184	2	-0.74923	0.99296	0.99374	1.0	21134	0	0
KRT222	3	0.0038417	0.0032663	0.347174	185	2	-0.51813	0.39754	0.35147	0.91074	8376	1	0.30434
HMBS	3	0.0038614	0.0032663	0.347174	186	2	-0.74784	0.94069	0.94456	1.0	19976	0	0
CCDC60	2	0.0038822	0.0033481	0.347174	187	1	-0.56987	0.28758	0.25014	0.894252	6320	1	0.27979
HR	3	0.0038888	0.0032663	0.347174	188	1	-0.79598	0.61619	0.58316	0.952723	13014	0	0
COG6	3	0.0039745	0.0034057	0.347174	189	2	-0.53356	0.82787	0.82756	1.0	17499	0	0
UBL5	3	0.0039829	0.0034057	0.347174	190	1	-1.01	0.92532	0.92787	1.0	19647	0	0
SPCS3	3	0.0039913	0.0034057	0.347174	191	2	-0.6905	0.71699	0.69965	0.998736	15156	0	0
AGAP6	2	0.0040078	0.0034678	0.347174	192	1	-1.6103	0.92843	0.931	1.0	19704	0	0
GPR21	3	0.00403	0.0034057	0.347174	193	1	-1.58	0.22077	0.2172	0.894252	5122	1	0.48576
REEP4	3	0.0040553	0.0034057	0.347174	194	2	-0.88997	0.073654	0.11277	0.871657	2616	1	0.68352
ZKSCAN8	3	0.0040771	0.0034057	0.347174	195	1	-0.70407	0.37525	0.33451	0.901558	7938	1	0.38433
PIGQ	3	0.0040926	0.0034057	0.347174	196	2	-0.5716	0.90168	0.90388	1.0	19127	0	0
H3F3C	3	0.0041096	0.0034057	0.347174	197	2	-0.5581	0.85362	0.85121	1.0	18068	0	0
SOGA2	3	0.0041574	0.0034061	0.347174	198	2	-0.51731	0.9955	0.99541	1.0	21204	0	0
TTC23L	3	0.0041712	0.0034061	0.347174	199	1	-0.79232	0.6799	0.63876	0.965028	14391	0	0
TUBGCP6	3	0.0041746	0.0034061	0.347174	200	2	-1.0086	0.81157	0.80746	1.0	17143	0	0
hsa-mir-7845	4	0.004186	0.0048998	0.402349	201	2	-0.67367	0.65656	0.62082	0.958651	13924	0	0
HECTD2	3	0.0042228	0.0034061	0.347174	202	2	-1.0578	0.95897	0.96227	1.0	20373	0	0
hsa-mir-1257	4	0.0042411	0.0048998	0.402349	203	1	-1.0563	0.47993	0.42515	0.932547	10134	1	0.38893
TNFSF14	3	0.0042747	0.0034061	0.347174	204	2	-0.5509	0.87768	0.88204	1.0	18603	0	0
GMNC	3	0.0042851	0.0034061	0.347174	205	2	-0.42931	0.16556	0.18946	0.894252	4169	1	0.60206
NEDD8	3	0.0043595	0.0035464	0.347174	206	1	-0.89751	0.6333	0.59143	0.952723	13416	0	0
ZNF836	3	0.0043654	0.0035464	0.347174	207	2	-0.61986	0.10474	0.13605	0.894252	3184	1	0.38733
hsa-mir-24-2	4	0.0043665	0.0051201	0.409284	208	2	-0.62273	0.22912	0.26389	0.894252	5266	1	0.68944
JUNB	3	0.0043759	0.0035464	0.347174	209	2	-0.66194	0.91528	0.91753	1.0	19412	0	0
KRTAP5-9	3	0.0044065	0.0035469	0.347174	210	1	-0.98556	0.71888	0.70094	0.998736	15197	0	0
PSMB3	3	0.0044076	0.0035469	0.347174	211	2	-0.95152	0.35753	0.31331	0.900648	7599	1	0.61881
hsa-mir-3153	4	0.004427	0.0053436	0.42402	212	3	-0.81936	0.99523	0.99569	1.0	21190	0	0
MAP2K4	3	0.0044358	0.0035469	0.347174	213	2	-0.41072	0.79493	0.79115	1.0	16801	0	0
ANKRD18B	3	0.0044429	0.0035469	0.347174	214	2	-1.005	0.83743	0.83658	1.0	17716	0	0
PPM1J	3	0.0044536	0.0035469	0.347174	215	1	-0.97636	0.31824	0.28977	0.894252	6871	1	0.42684
AARS	3	0.0045006	0.0036945	0.347174	216	2	-1.5438	0.66126	0.61878	0.95658	14016	0	0
EPHA2	3	0.0045477	0.0036945	0.347174	217	1	-1.1987	0.71173	0.69157	0.996522	15054	0	0
RANBP6	3	0.0045532	0.0036945	0.347174	218	2	-0.41183	0.33589	0.30048	0.894252	7190	1	0.3383
NonTargetingControlGuideForHuman_0884	1	0.0045546	0.0029811	0.347174	219	1	-0.76529	0.99545	0.99702	1.0	21200	0	0
RMND5A	3	0.0045604	0.0036945	0.347174	220	2	-1.0516	0.88052	0.88417	1.0	18671	0	0
MED30	3	0.0045675	0.0036945	0.347174	221	2	-0.87294	0.73904	0.72427	1.0	15612	0	0
TP53	3	0.0045927	0.0036945	0.347174	222	2	-0.93425	0.11661	0.14247	0.894252	3381	1	0.71515
DBC1	2	0.0045947	0.0059994	0.437594	223	2	-1.0594	0.99541	0.99583	1.0	21199	0	0
CDRT1	3	0.0045948	0.0036945	0.347174	224	1	-0.77767	0.85713	0.85537	1.0	18148	0	0
MSMB	3	0.0046418	0.0036945	0.347174	225	1	-0.55095	0.79408	0.79115	1.0	16781	0	0
C21orf2	3	0.0046467	0.0036945	0.347174	226	2	-0.65048	0.090815	0.1253	0.885234	2954	1	0.5693
TCF21	3	0.0046889	0.003695	0.347174	227	1	-1.1965	0.62465	0.58647	0.952723	13202	0	0
NonTargetingControlGuideForHuman_0806	1	0.0046962	0.0029811	0.347174	228	1	-0.64808	0.9953	0.99702	1.0	21194	0	0
hsa-mir-3118-2	1	0.0047277	0.0029811	0.347174	229	1	-1.0935	0.99527	0.99702	1.0	21192	0	0
CDKL3	3	0.004783	0.003695	0.347174	230	1	-0.6948	0.91749	0.92088	1.0	19475	0	0
DACH2	3	0.00483	0.003695	0.347174	231	1	-0.87474	0.68822	0.64769	0.966447	14551	0	0
OR10G8	3	0.004877	0.0038458	0.347174	232	1	-1.0306	0.56033	0.52397	0.945641	11839	0	0
FANCF	3	0.0049241	0.0038458	0.347174	233	1	-0.91762	0.85489	0.8529	1.0	18100	0	0
hsa-mir-6721	4	0.0049309	0.0056027	0.425351	234	1	-1.0598	0.61989	0.57922	0.952723	13100	0	0
ZNF660	3	0.0049711	0.0038458	0.347174	235	2	-0.51335	0.39098	0.3451	0.91074	8247	1	0.25321
CEP44	3	0.0050151	0.0038458	0.347174	236	2	-0.88903	0.25848	0.24484	0.894252	5776	1	0.32272
MORC2	3	0.0050182	0.0038458	0.347174	237	1	-1.3084	0.86967	0.87031	1.0	18431	0	0
hsa-mir-3690-1	4	0.0050236	0.005871	0.429706	238	3	-0.31051	0.95681	0.95811	1.0	20329	0	0
hsa-mir-128-1	4	0.0050563	0.005871	0.429706	239	1	-1.3122	0.9292	0.9287	1.0	19724	0	0
C3orf27	3	0.0050652	0.0038463	0.347174	240	1	-1.3266	0.32571	0.2919	0.894252	7007	1	0.49533
